INT	INT	INT	STRING	STRING
92	66	4	Thánh Thú S½n Nghiªt H°n Tích D¸ch	#W&U#P tÕi #GThánh Thú S½n#P cùng #{_BOSS117}#P chiªn ð¤u k¸ch li®t, b²ng mµt v§t cÑng t× ðâu bay ðªn trúng ðïnh ð¥u, tÑc gi§n, không thèm nh£t lên chï liªc mµt cái, thì ra 1 cu¯n #W&I#P, m×ng th¥m: thì ra trong h÷a có phúc.
93	67	4	Thánh Thú S½n H¤p Huyªt Bat	#W&U#P tÕi #GThánh Thú S½n#P cùng #{_BOSS116}#P chiªn ð¤u k¸ch li®t, b±ng mµt v§t cÑng t× ðâu bay ðªn trúng ðïnh ð¥u, tÑc gi§n, không thèm nh£t lên chï liªc mµt cái, thì ra 1 cu¯n #W&I#P, m×ng th¥m: thì ra trong h÷a có phúc.
94	68	4	Minh Giáo 45 Yªu Quyªt	#{_BOSS11}#P · #GThäo Nguyên#P hß¾ng ðªn bäo ng÷c huynh ð® ðoÕt ðßþc, lÕi không mu¯n #W&U#P huynh ð® giªt, #{_BOSS11} và vây cánh cüa y b¸ giªt sÕch, lúc ngã xu¯ng 1 cu¯n #W&I#P t× mình r½i ra.
95	69	4	Thiªu Lâm Tinh Túc Thiên S½n 45Yªu Quyªt	#W&U#P th¯ng lînh ðµi quân tinh nhu® lên #GVõ Di#P truy tìm #{_BOSS9}#P, #{_BOSS9}#P vì ðÕi cuµc mà ði, dân lên mµt cu¯n #W&I#P xin khoan dung.
96	70	4	Tiêu Dao Nga My 45 Yªu Quyªt	#W&U#P th¯ng lînh huynh ð® xông pha bình ð¸nh #{_BOSS7}#P, ngß¶i dân · #GThß½ng S½n#P ðã t£ng 1 cu¯n #W&I#P ð¬ báo ðáp.
97	71	4	Võ Ðang Thiên Long 45 Yªu Quyªt	#{_BOSS5}#Pðang ·#GHuy«n Vû Ðäo#Pbài binh b¯ tr§n, ðáng tiªc thª tr§n vçn chßa k¸p l§p thì ti¬u ðµi ðã b¸ ðánh úp#W&U#P, dçn ðªn toàn th¬ tan tác, ðành phäi giao ra mµt cu¯n#W&I#Pxin hàng!
98	72	4	Yªu Quyªt Thiên Long Thiªu Lâm 80	#{_BOSS118}#P ðªn #GTàng Kinh Các#P cß¾p ðoÕt kinh sách, tß·ng s¡p l¤y ðßþc thì b¸ #W&U#P ðá mµt cß¾c, không nhæng b¸ trúng thß½ng nghiêm tr÷ng, lÕi còn r½i ra 1 quy¬n #W&I#P.
99	73	4	Bàn S½n ÐÕo Nhân	#{_BOSS121}#P ðang chiêm ngßÞng bäo v§t, chþt hào quang lóe sáng r½i ra #W&I#P, #W&U#P c¥m l¤y và nói: "Ða tÕ!"
100	73	4	Bàn S½n ÐÕo Nhân	#W&U#P lãnh ðÕo các hào ki®t ði tìm bäo tàng, tình c¶ g£p #{_BOSS121}#P m¾i ð¤u v¾i nó 100 hi®p, nó ð¤u không lÕi bèn bö chÕy, d÷c ðß¶ng làm r½i #W&I#P.
101	73	4	Bàn S½n ÐÕo Nhân	#{_BOSS121}#P ðang mäi mê ng¡m nghía kÏ bäo trong tay, chþt #W&U#P bay ra, ðoÕt l¤y kÏ bäo #W&I#P trong tay #{_BOSS121}#P.
102	74	4	Lâu Lan phø bän Hµ Ðäo Th¥n Thú r½i ra Trân Thú Huy­n Hoá Ðan toái phiªn	#{_BOSS88}#P ðang tän bµ · #GHuy«n Vû Ðäo#P, ai ng¶ #W&U#P mai phøc bên ðß¶ng ðã lâu, #{_BOSS88}#P sau khi b¸ ðánh mµt tr§n t½i tä ðành ngoan ngoãn giao ra #W&I#P.
103	75	4	Di®t Ti¬u Ác Bá r½i ra Linh Thú Tinh Phách 	#{_BOSS27}#P trong môn phái làm nhi«u chuy®n ác, #W&U#P ra tay tr×ng tr¸ h¡n ð¬ thanh lý môn hµ, chß·ng môn nhân th¤y v§y li«n trao cho #W&I#P ð¬ tß·ng thß·ng.
104	76	4	Lâu Lan phø bän Phi Thiên Miêu r½i ra Trân Thú Huy­n Hoá Ðan toái phiªn	#{_BOSS89}#P kéo theo tay sai ra ngoài thu thuª, không ng¶ b÷n tay chân b¸ trúng kª ði®u h± ly s½n cüa #W&U#P, #{_BOSS89}#P chï còn mµt mình, th¤y tình thª không xong ðành cam ch¸u giao ra 1 #W&I#P.
105	77	4	Phän T£c r½i ra Äo Hóa Ðan	#{_BOSS29}#P ðang mu¯n t¤n công thành trì, ai ng¶ b¸ #W&U#P mµt tay hÕ gøc, #W&U#P khi thanh lý chiªn trß¶ng vô tình phát hi®n 1 #W&I#P!
106	78	4	Dß Ðµc r½i Võ H°n	#W&U#P ði qua doanh ð¸a cüa #{_BOSS45}#P, th×a c¶ h¡n ðang ngü, thu§n tay l¤y ði 1 #W&I#P.
107	79	4	H°ng Hùng Vß½ng r½i Võ H°n	#W&U#P ðªn sào huy®t #{_BOSS46}#P, dùng cá khô dø #{_BOSS46}#P ra ngoài, d­ dàng vào sào huy®t l¤y ði #W&I#P.
108	80	4	Bàn S½n ÐÕo Nhân	#W&U#P ðÕi hi®p anh minh th¥n võ, th¯ng lînh các hào ki®t ðánh cho #{_BOSS121}#P t½i b¶i hoa lá, #{_BOSS121}#P ðành ch¸u thúc thü, hai tay dâng t£ng #W&I#P ð¬ c¥u xin tha mÕng.
109	81	4	Lý Thu ThuÖ	#W&U#P phi thân ðá mµt cß¾c khiªn #{_BOSS76}#P r¾t khöi thú cßÞi, nhìn kÛ thú cßÞi ðó thì ra là #W&I#P, cäm th¤y vui m×ng vô hÕn.
110	82	4	Tàng Kinh Các BOSS r½i Ðiêu Vån	#W&U#P ðang · trong #GTàng Kinh Các#P nghiên cÑu kinh vån, không ng¶ #{_BOSS118}#P lÕi la hét °n ào trong ðó, #W&U#P l¤y ðÑc phøc nhân, nói l¶i ðÕo lý khiªn #{_BOSS118}#P ðành ðßa ra #W&I#P ð¬ chuµc tµi.
111	83	4	Cát Vinh r½i Ðiêu Vån	#W&U#P ði ðªn #GDã NgoÕi Phï TrÕi#P thám thính tình hình loÕn phï, phát hi®n trong bäo kh¯ cüa #{_BOSS47}#P chÑa #W&I#P, #W&U#P v¯n tính không lãng phí bèn âm th¥m l¤y ði.
112	84	4	Höa Di­m Yêu Ma r½i Ðiêu Vån	#W&U#P ðªn #GDung Nham Chi Ð¸a#P khäo sát ð¸a hình · ðó, không ng¶ b¸ #{_BOSS97}#P d÷a mµt tr§n hªt h°n, khi ð¸nh th¥n nhìn lÕi thì th¤y trên ð¤t có 1 #W&I#P!
113	85	4	Sát Tinh r½i ra	#W&U#P trên #GSinh TØ Lôi Ðài#P tä xung hæu ðµt, d­ dàng ðoÕt l¤y #W&I#P t× ch² Sát Tinh!
114	86	4	Mµ Dung S½n Trang r½i Nguyên li®u th¥n kÏ	#G&S#P, #{_BOSS122}#P th¤y không ð¸ch lÕi #W&U#P, l¤y ra 1 #W&I#P ð¸nh dùng ð¬ che ch¡n, ai ng¶ lÕi b¸ #W&U#P ðßa tay ðoÕt l¤y.
115	87	4	HoÕt ðµng Ngh¸ch T§p r½i ra	#W&U#P không chï ðánh tan âm mßu phá hoÕi hµi Túc C¥u cüa #YKhiªt Ðan Thích Khách#P, còn l¤y ðßþc t× trên ngß¶i #YKhiªt Ðan Thích Khách#P 1 #W&I#P!
116	88	4	T¥n Hoàng Ð¸a Cung	#P#{_BOSS123} · T¥n Hoàng Ð¸a Cung t¥ng 4 ðang chïnh lÕi y phøc trong phòng, ai ng¶ #W&U#P lao vào, #{_BOSS123} th¤t kinh, làm r½i 1 #W&I#P.
117	89	4	TÑ Tuy®t Trang	#W&U#P · #GTÑ Tuy®t Trang#P liên tiªp ðánh bÕi 3 ðÕi tuy®t kÛ cüa #{_BOSS127} là Khí Xa Bäo Soái, Mßu Ð¸nh Thiên HÕ, Th§p Bß¾c Nh¤t Sát, #{_BOSS127} th¤t kinh, vµi giao ra #W&I#P ð¬ tö lòng kính sþ.
118	90	4	Sát Tinh r½i Thánh Thú Chi H°n	#W&U#PHi®n tÕi ðang chiªn ð¤u v¾i#GDã Trß Nông Trß¶ng#P tÕi#{_BOSS19}, ðµt nhiên sØ døng chiêu phi long tham vân thü, t× ðó trên ngß¶i l¤y ra 1 v§t d¸ thß¶ng #W&I#P!
119	91	4	Sát Tinh r½i ra Rång Thánh Thú	#W&U#Phi®n tÕi trong #Gsinh tØ lôi ðài#P b¸ chúng sát tinh bao vây, cu¯i cùng lþi døng kª miêu thü, t× ðó trong túi áo l¤y ra mµt cái thª gian hiªm có#W&I#P!
120	92	4	Sinh Tiêu Lôi Ðài TrÕi	#G12 con giáp #P g¥n ðây nhàn hÕ sinh chán, dñng Sinh Tiêu Lôi Ðài · ch² #GÐÕi Lý (264,127)#Yvân Phiêu Phiêu#P. Nay #W&U#P khiêu chiªn thành công 12 con giáp khiªn chúng khâm phøc vô cùng, ð£c bi®t t£ng #W&I#P ð¬ tö thành ý.
121	93	4	Thiên Long trân bäo nang rß½ng	#PNgay lúc Thiên Long M§t Bäo Rß½ng b¸ ðánh vÞ, #W&U#P chÕm vào ch² di hài xem xét tï mï, b¤t chþt #W&I#P phóng ra t× ch² di hài, làm cho kÏ cuµc t¯i ðen chþt b×ng sáng!
122	94	4	Bäo tàng ðµng Mµc Dûng bá r·i thë bäo	#Ptrong bäo tàng ðµng, #{_BOSS23}#P ðang tu luy®n QuÏnh Hoa Bäo Ði¬n ðªn lúc quan tr÷ng, chï mµt chút s½ sót cûng s¨ b¸ t¦u höa nh§p ma, kì kinh bát mÕch ðÑt ðoÕn  nên chï có th¬ tr½ m¡t ra nhìn #W&U#P cß¾p m¤t #W&I#P cüa mình, trong lòng nghî: ?Ti¬u t£c, l¥n sau g£p lÕi chính là gi¶ tØ cüa mi??.
123	95	4	Thiªu Th¤t S½n	#W&U#P xu¤t chiêu, trúng ngay ngñc#{_BOSS129}#P, chï th¤y#W&I#P r¾t ra khöi lão t£c ¤y, m÷i ngß¶i ai n¤y ð«u vui m×ng.
124	96	4	Thiªu Th¤t S½n	#W&U#PsØ døng võ h÷c bình sinh, th±i bay #{_BOSS130}#P vång ra 3 d£m, chï th¤y #W&I#P r½i xu¯ng dß¾i chân mình, m÷i ngß¶i vô cùng ph¤n khích.
125	97	4	Thiªu Th¤t S½n	#{_BOSS131}#Pkhông th¬ ch¯ng ðÞ ðþt t¤n công mÕnh m¨ cüa #W&U#P, chï ðánh dâng #W&I#PquÏ xin tha thÑ.
126	99	4	Thiªu Th¤t S½n	#W&U#Pbö qua mãnh kích cüa #{_BOSS133}#P, mµt quy«n ðánh trúng ði¬m yªu, chï th¤y #{_BOSS133} dâng lên #W&I#P, QuÏ xin tha thÑ.
127	100	4	Hµ Bäo Mã T£c	#W&U#Ptrong tr§n chiªn cüa #{_BOSS134}#P ðµt nhiên kêu lên mµt tiªng: ?Có bäo tàng?? ðã thu hút sñ chú ý cüa mã t£c. Tiªp ðó ðã l¤y #W&I#P t× trong túi cüa mã t£c.
128	100	4	Hµ Bäo Mã T£c	#Pkhiêu khích bäo v¾i #W&U#P ðÕi chiªn 300 hi®p#{_BOSS134}#P, trong quá trình quyªt ð¤u, vô tình ð¬ #W&I#P r½i ra, r°i ð§p ð¥u vô cây b¤t tïnh.
129	100	4	Hµ Bäo Mã T£c	#{_BOSS134}#PC¥m mµt món v§t ph¦m th¥n bí, nh¡m m¡t l¦m b¦m gì ð¤y, cÑ  nhß s¡p tung tuy®t chiêu.#W&U#P nhân lúc #{_BOSS134} nh¡m m¡t, ðoÕt l¤y #W&I#P t× tay y, bö lÕi tiªng cäm ½n r°i chÕy m¤t dép?
130	101	22	Phø Bän Thành Th¸	&U#P ðÕi hi®p ðang thåm dò#G&S#P, may m¡n thay, ðã ðÕt ðßþc#Y&I#P, th§t khiªn ngß¶i ta hâm mµ.
131	102	4	Binh Thánh KÏ Tr§n	#P th¤y cao thü tÑ phía büa vây, #{_BOSS140}#P m£t không ð±i s¡c ung dung Ñng phó lÕi, ðµt nhiên phát ra mµt tiªng "KÏ T§t Nhß Phong" thì biªn m¤t ngay trß¾c m¡t m÷i ngß¶i. # W&U#P nh£t#W&I#P lên xong, mi®ng l¦m b¦m: "T§t Nhß Phong quä không phäi hß truy«n, ðªn ta mà cûng chï có th¬ làm b¸ thß½ng cái túi cüa ngß½i mà thôi.  ".
132	102	4	OB r½i Kim T¢m Ty	#W&U#Pnh§n l®nh tÕi #G thiên hoang ð¸a cung#P ði«u tra hành ðµng cäu #Y thiên hoang thích khách#P, #W&U#Psau khi d¸ch dung thành tùy tùng, vô tình phát hi®n #Y thiên hoang thích khách#P ðánh r½i #W&I#P!
133	103	4	Binh Thánh KÏ Tr§n	#P sau khi san b¢ng tr§n ð¸a, #W&U#P ðang ð¸nh r¶i ði, thì phát hi®n#{_BOSS141}#Ptrong r×ng trúc lÕi có#W&I#P, nên li«n l¤y bö vào túi, r°i leo lên ngña ði ðªn Höa Tr§n.
134	103	4	Thiên Long trân bäo nang rß½ng	#PNgay lúc Thiên Long M§t Bäo Rß½ng b¸ ðánh vÞ, #W&U#P chÕm vào ch² di hài xem xét tï mï, b¤t chþt #W&I#P phóng ra t× ch² di hài, làm cho kÏ cuµc t¯i ðen chþt b×ng sáng!
135	104	4	Binh Thánh KÏ Tr§n	#P sau khi d§p lØa quanh ngß¶i, #W&U#P thò tay vào túi tìm thu¯c tr¸ thß½ng: "tuy nói#{_BOSS142}#P là Liêu Qu¯c Næ TØ, nhßng võ công không t°i nhé, #W&I#P.  ðây là chiêu gì? ThÑ này vào túi ta lúc nào nhï?!"
136	104	4	Huy«n vû Ðäo phi thiên miêu	#{_BOSS3}#Pcó ngß¶i ðªn khiêu chiªn nên nh¤t th¶i h° ð°, lÕi nghî ð¯i phß½ng ðªn a dua n¸nh bþ, nên ðã t£ng #W&I#P cho #W&U#P.
137	105	4	Binh Thánh KÏ Tr§n	#P Thoát ðßþc chiêu cüa #{_BOSS143}#P xong, #W&U#P vçn còn sþ hãi ng°i lên täng nham thÕch nghï chút. V×a ch¸u kÛ nång t¦y rØa lÕi thêm tr÷ng lñc xâm nh§p khiªn nham thÕch vÞ vun, #W&I#P vang tiªng ð¤t ðá r½i.
138	106	4	Thiªu Th¤t S½n	&U#Pg£p#{_BOSS145}#P Tâm Ma ðã ðßþc Th¥n Tång hóa giäi, ðang ng°i ði«u hòa h½i th·, thì lÕi có ðßþc#W&I#P, vui m×ng khôn xiªt.
139	118	4	Hß Không Yªn TØ ‘ Mµ Dung Phøc r½i ra	#W&U#P?#{_BOSS0}#PtÕi Hß Không Yªn TØ ‘ chiªn ð¤u 1 phen, ðµt nhiên la l¾n: "Chúng hunh ð® hãy mau ra giúp ðÞ ði??"#{_BOSS0} hoäng loÕn r½i ra 1 #W&I#P.
140	118	4	Hß Không Yªn TØ ‘ Mµ Dung Phøc r½i ra	#W&U#Pgi½ cao bäo kiªm trong Hß Không Yªn TØ ‘, th¥n dûng vô song, ðánh #{_BOSS0}#P t½i b¶i hoa lá, ti®n tay v½ l¤y #W&I#P.
141	119	4	Hß Không Yªn TØ ‘ Anh Chiêu	#W&U#Pnghe nói Hß Không Yªn TØ ‘ có Thßþng C± Th¥n Thú xu¤t hi®n, hãy liên thü cùng nhau ðánh #{_BOSS0}#P, #{_BOSS0}#P ðành mi­n cßÞng giao ra 1 #W&I#P.
142	120	4	Hß Không Phiêu Mi¬u Phong RMB r½i ra	#W&U#PTÕi Hß Không Phiêu Mi¬u Phong b¤t c¦n té sâu xu¯ng c¯c, khi ðÕi nÕn không chªt vçn không phát hi®n ra cái gì g÷i là Võ Lâm Bí T¸ch, nhßng ít ra tìm th¤y #W&I#P, cûng xem nhß là có chút lþi lµc.
143	121	4	Hß Không Phiêu Mi¬u Phong Th¥n Tiªt r½i ra	#W&U#Ptrong Hß Không Phiêu Mi¬u Phong phát hi®n 1 næ nhi tay c¥m 1 bÑc thß h÷a hô to: "Là cô ta, là cô ta!" r°i nhäy c¦ng lên. 1 lu°ng sáng #W&I#P t× dß¾i ð¤t hi®n ra.
144	122	4	Hß Không Phiêu Mi¬u Phong Hàn Ng÷c r½i ra	#PÐan xen giæa lôi vû Hß Không Phiêu Mi¬u Phong, #W&U#Ptrong S½n Ðµng vô tình phát hi®n 1 #W&I#Pphát sáng l¤p lánh · 1 g¯c.
145	123	4	Hß Không Sát Tinh r½i ra	#W&U#PtÕi #GHß Không Sinh TØ Lôi Ðài#P ðÕi sát tÑ phß½ng, nh© nhàng t× n½i Sát Tinh ðoÕt v« #W&I#P!
146	124	4	Hß Không TÑ Tuy®t Trang	#W&U#PtÕi #GHß Không TÑ Tuy®t Trang#Pliên phá#{_BOSS127}, âm mßu th¯ng lînh thiên hÕ, th§p bµ nh¤t sát tam ðÕi tuy®t kÛ, #{_BOSS127} hoàng sþ, vµi vàng t£ng ta #W&I#P.
147	209	4	Phiêu Mi­u Phong Cß¶ng Hóa R½i	#PPhiêu Mi­u Phong chiªn ð¤u không ng×ng, #W&U#P dûng cäm thu phøc quái v§t, nh§n ðßþc #W&I#P quý giá.
148	210	4	Hß Không Phiêu Mi­u Phong Cß¶ng Hóa R½i	#PHß Không Phiêu Mi­u Phong chiªn ð¤u không ng×ng, #W&U#P dûng cäm thu phøc quái v§t, nh§n ðßþc #W&I#P quý giá.
149	211	4	HoÕt ðµng Bàn C± Chi Linh tiêu di®t Xà Hình Nê Nhân	#PHoÕt ðµng Bàn C± Chi Linh y nhß là nß¾c v¾i lØa, #W&U#P ðã dûng cäm ðánh bÕi #GXà Hình Nê Nhân#P, không ng¶ lÕi có ðßþc #W&I#P.
