INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
8493	Thø ÐÕi Hùng Biªn D¸	0	45	52	0	10	0	-1	9	20	1	0.1	-1	0	1260	592	1260	592	6876	1432	0	0	551	87	4	4	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1897	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8499	Thø ÐÕi Hùng Bäo Bäo	0	45	52	0	10	0	-1	9	20	1	0.1	-1	0	1260	592	1260	592	6876	1432	0	0	551	87	4	4	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1894	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8500	Thø ÐÕi Hùng Trß·ng Thành	0	55	70	0	10	0	-1	9	20	1	0.1	-1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1894	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8501	Thø ÐÕi Hùng Biªn D¸	0	55	70	0	10	0	-1	9	20	1	0.1	-1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1895	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8502	Thø ÐÕi Hùng Biªn D¸	0	55	70	0	10	0	-1	9	20	1	0.1	-1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1896	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8503	Thø ÐÕi Hùng Biªn D¸	0	55	70	0	10	0	-1	9	20	1	0.1	-1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1897	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8504	Thø ÐÕi Hùng Biªn D¸	0	55	70	0	10	0	-1	9	20	1	0.1	-1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1898	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8509	Thø ÐÕi Hùng Bäo Bäo	0	55	70	0	10	0	-1	9	20	1	0.1	-1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1894	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8510	Thø ÐÕi Hùng Trß·ng Thành	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1894	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8511	Thø ÐÕi Hùng Biªn D¸	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1895	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8512	Thø ÐÕi Hùng Biªn D¸	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1896	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8513	Thø ÐÕi Hùng Biªn D¸	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1897	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8514	Thø ÐÕi Hùng Biªn D¸	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1898	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8515	Thø ÐÕi Hùng Biªn D¸	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1899	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8519	Thø ÐÕi Hùng Bäo Bäo	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1894	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8520	Thø ÐÕi Hùng Trß·ng Thành	0	75	113	0	10	0	-1	9	20	1	0.1	-1	0	2196	982	2196	982	15216	2377	0	0	1372	145	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1894	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8521	Thø ÐÕi Hùng Biªn D¸	0	75	113	0	10	0	-1	9	20	1	0.1	-1	0	2196	982	2196	982	15216	2377	0	0	1372	145	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1895	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8522	Thø ÐÕi Hùng Biªn D¸	0	75	113	0	10	0	-1	9	20	1	0.1	-1	0	2196	982	2196	982	15216	2377	0	0	1372	145	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1896	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8523	Thø ÐÕi Hùng Biªn D¸	0	75	113	0	10	0	-1	9	20	1	0.1	-1	0	2196	982	2196	982	15216	2377	0	0	1372	145	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1897	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8524	Thø ÐÕi Hùng Biªn D¸	0	75	113	0	10	0	-1	9	20	1	0.1	-1	0	2196	982	2196	982	15216	2377	0	0	1372	145	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1898	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8525	Thø ÐÕi Hùng Biªn D¸	0	75	113	0	10	0	-1	9	20	1	0.1	-1	0	2196	982	2196	982	15216	2377	0	0	1372	145	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1899	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8526	Thø ÐÕi Hùng Biªn D¸	0	75	113	0	10	0	-1	9	20	1	0.1	-1	0	2196	982	2196	982	15216	2377	0	0	1372	145	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1900	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8529	Thø ÐÕi Hùng Bäo Bäo	0	75	113	0	10	0	-1	9	20	1	0.1	-1	0	2196	982	2196	982	15216	2377	0	0	1372	145	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1894	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8530	Thø ÐÕi Hùng Trß·ng Thành	0	85	138	0	10	0	-1	9	20	1	0.1	-1	0	2487	1112	2487	1112	18668	2692	0	0	1726	164	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1894	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8531	Thø ÐÕi Hùng Biªn D¸	0	85	138	0	10	0	-1	9	20	1	0.1	-1	0	2487	1112	2487	1112	18668	2692	0	0	1726	164	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1895	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8532	Thø ÐÕi Hùng Biªn D¸	0	85	138	0	10	0	-1	9	20	1	0.1	-1	0	2487	1112	2487	1112	18668	2692	0	0	1726	164	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1896	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8533	Thø ÐÕi Hùng Biªn D¸	0	85	138	0	10	0	-1	9	20	1	0.1	-1	0	2487	1112	2487	1112	18668	2692	0	0	1726	164	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1897	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8534	Thø ÐÕi Hùng Biªn D¸	0	85	138	0	10	0	-1	9	20	1	0.1	-1	0	2487	1112	2487	1112	18668	2692	0	0	1726	164	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1898	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8535	Thø ÐÕi Hùng Biªn D¸	0	85	138	0	10	0	-1	9	20	1	0.1	-1	0	2487	1112	2487	1112	18668	2692	0	0	1726	164	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1899	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8536	Thø ÐÕi Hùng Biªn D¸	0	85	138	0	10	0	-1	9	20	1	0.1	-1	0	2487	1112	2487	1112	18668	2692	0	0	1726	164	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1900	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8537	Thø ÐÕi Hùng Biªn D¸	0	85	138	0	10	0	-1	9	20	1	0.1	-1	0	2487	1112	2487	1112	18668	2692	0	0	1726	164	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1901	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8539	Thø ÐÕi Hùng Bäo Bäo	0	85	138	0	10	0	-1	9	20	1	0.1	-1	0	2487	1112	2487	1112	18668	2692	0	0	1726	164	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1894	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8540	Thø ÐÕi Hùng Trß·ng Thành	0	95	158	0	10	0	-1	9	20	1	0.1	-1	0	3043	1243	3043	1243	22456	3007	0	0	1927	183	8	8	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1894	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8541	Thø ÐÕi Hùng Biªn D¸	0	95	158	0	10	0	-1	9	20	1	0.1	-1	0	3043	1243	3043	1243	22456	3007	0	0	1927	183	8	8	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1895	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8542	Thø ÐÕi Hùng Biªn D¸	0	95	158	0	10	0	-1	9	20	1	0.1	-1	0	3043	1243	3043	1243	22456	3007	0	0	1927	183	8	8	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1896	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8543	Thø ÐÕi Hùng Biªn D¸	0	95	158	0	10	0	-1	9	20	1	0.1	-1	0	3043	1243	3043	1243	22456	3007	0	0	1927	183	8	8	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1897	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8544	Thø ÐÕi Hùng Biªn D¸	0	95	158	0	10	0	-1	9	20	1	0.1	-1	0	3043	1243	3043	1243	22456	3007	0	0	1927	183	8	8	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1898	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8545	Thø ÐÕi Hùng Biªn D¸	0	95	158	0	10	0	-1	9	20	1	0.1	-1	0	3043	1243	3043	1243	22456	3007	0	0	1927	183	8	8	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1899	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8546	Thø ÐÕi Hùng Biªn D¸	0	95	158	0	10	0	-1	9	20	1	0.1	-1	0	3043	1243	3043	1243	22456	3007	0	0	1927	183	8	8	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1900	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8547	Thø ÐÕi Hùng Biªn D¸	0	95	158	0	10	0	-1	9	20	1	0.1	-1	0	3043	1243	3043	1243	22456	3007	0	0	1927	183	8	8	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1901	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8548	Thø ÐÕi Hùng Biªn D¸	0	95	158	0	10	0	-1	9	20	1	0.1	-1	0	3043	1243	3043	1243	22456	3007	0	0	1927	183	8	8	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1901	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8549	Thø ÐÕi Hùng Bäo Bäo	0	95	158	0	10	0	-1	9	20	1	0.1	-1	0	3043	1243	3043	1243	22456	3007	0	0	1927	183	8	8	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1894	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	1	0	0	0
8550	Hoä Tông ThØ Trß·ng Thành	0	55	930	0	10	0	-1	9	20	1	0.1	-1	0	3875	866	3875	866	22368	2097	0	0	941	128	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1937	1	1	-1	100	100	set:PetHeader2 image:PetHeader2_23	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	5	0	0	0
8551	Viêm Hoä Tông ThØ Trß·ng Thành	0	75	1494	0	10	0	-1	9	20	1	0.1	-1	0	5272	1179	5272	1179	36518	2853	0	0	1646	174	8	8	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1937	1	1	-1	100	100	set:PetHeader2 image:PetHeader2_23	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	5	0	0	0
8552	Huy«n Dñc Thú Trß·ng Thành	0	65	1196	0	10	0	-1	9	20	1	0.1	-1	0	4573	1023	4573	1023	29040	2475	0	0	1270	151	7	7	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1938	1	1	-1	100	100	set:PetHeader2 image:PetHeader2_24	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	5	0	0	0
8553	Xuy Huy«n Dñc Thú Trß·ng Thành	0	75	1494	0	10	0	-1	9	20	1	0.1	-1	0	5272	1179	5272	1179	36518	2853	0	0	1646	174	8	8	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1938	1	1	-1	100	100	set:PetHeader2 image:PetHeader2_24	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	12	0	0	4	5	0	0	0
8560	Hoan LÕc Trß Trß·ng Thành	0	35	37	0	10	0	-1	9	20	1	0.1	-1	0	983	461	983	461	4768	1117	0	0	395	68	3	3	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1990	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8561	Hoan LÕc Trß Biªn D¸	0	35	37	0	10	0	-1	9	20	1	0.1	-1	0	983	461	983	461	4768	1117	0	0	395	68	3	3	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1991	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8562	Hoan LÕc Trß Biªn D¸	0	35	37	0	10	0	-1	9	20	1	0.1	-1	0	983	461	983	461	4768	1117	0	0	395	68	3	3	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1992	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8569	Hoan LÕc Trß Bäo Bäo	0	35	37	0	10	0	-1	9	20	1	0.1	-1	0	983	461	983	461	4768	1117	0	0	395	68	3	3	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1990	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8570	Hoan LÕc Trß Trß·ng Thành	0	45	52	0	10	0	-1	9	20	1	0.1	-1	0	1260	592	1260	592	6876	1432	0	0	551	87	4	4	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1990	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8571	Hoan LÕc Trß Biªn D¸	0	45	52	0	10	0	-1	9	20	1	0.1	-1	0	1260	592	1260	592	6876	1432	0	0	551	87	4	4	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1991	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8572	Hoan LÕc Trß Biªn D¸	0	45	52	0	10	0	-1	9	20	1	0.1	-1	0	1260	592	1260	592	6876	1432	0	0	551	87	4	4	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1992	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8573	Hoan LÕc Trß Biªn D¸	0	45	52	0	10	0	-1	9	20	1	0.1	-1	0	1260	592	1260	592	6876	1432	0	0	551	87	4	4	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1993	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8579	Hoan LÕc Trß Bäo Bäo	0	45	52	0	10	0	-1	9	20	1	0.1	-1	0	1260	592	1260	592	6876	1432	0	0	551	87	4	4	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1990	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8580	Hoan LÕc Trß Trß·ng Thành	0	55	70	0	10	0	-1	9	20	1	0.1	-1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1990	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8581	Hoan LÕc Trß Biªn D¸	0	55	70	0	10	0	-1	9	20	1	0.1	-1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1991	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8582	Hoan LÕc Trß Biªn D¸	0	55	70	0	10	0	-1	9	20	1	0.1	-1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1992	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8583	Hoan LÕc Trß Biªn D¸	0	55	70	0	10	0	-1	9	20	1	0.1	-1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1993	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8584	Hoan LÕc Trß Biªn D¸	0	55	70	0	10	0	-1	9	20	1	0.1	-1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1994	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8589	Hoan LÕc Trß Bäo Bäo	0	55	70	0	10	0	-1	9	20	1	0.1	-1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1990	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8590	Hoan LÕc Trß Trß·ng Thành	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1990	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8591	Hoan LÕc Trß Biªn D¸	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1991	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8592	Hoan LÕc Trß Biªn D¸	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1992	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8593	Hoan LÕc Trß Biªn D¸	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1993	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8594	Hoan LÕc Trß Biªn D¸	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1994	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8595	Hoan LÕc Trß Biªn D¸	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1995	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
8599	Hoan LÕc Trß Bäo Bäo	0	65	91	0	10	0	-1	9	20	1	0.1	-1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	3500	1500	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1990	1	1	-1	100	100	set:PetHeader4 image:PetHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	27	11	0	0	4	1	0	0	0
