INT	INT	STRING	STRING	STRING	INT	FLOAT	INT	INT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT
51	8	Thái Bình Yªu Thu§t	Nam Hoa lão tiên th¶i Tam Qu¯c truy«n dÕy, ghi chép các thu§t Hô phong hoán vû, Ph¯c sóc mê ly ( l¶ m¶ chÆng biªt gì) t× c± chí kim. Sau khi tu luy®n có th¬ nâng cao hoÕt lñc cho ð® tØ cüa phái Tiêu Dao.#r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa4_3	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
52	8	Ðoän Ca Hành	Võ công tâm pháp do T± sß sáng l§p ra Tiêu Dao phái ngµ ra t× trong âm nhÕc thi ca, khi xu¤t chiêu gi¯ng nhß tiên nhÕc phiêu diêu, lan töa kh¡p không gian. Sau khi tu luy®n có th¬ nâng cao nµi thü cho ð® tØ cüa phái Tiêu Dao. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa4_4	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
53	8	Ðan Thanh Dçn	Võ công tâm pháp do T± sß sáng l§p ra Tiêu Dao phái ngµ ra t× Thß h÷c Ðan Thanh. Khi xu¤t chiêu gi¯ng nhß mñc v¨ ð§m thêm nhi«u s¡c màu, phá bÑc phi tiên. Sau khi h÷c t§p có th¬ nâng cao khä nång nµi công kích cüa ð® tØ Tiêu Dao. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa4_5	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
54	8	Kinh Ðào Chß·ng Pháp	Th¥n công danh ch¤n giang h° m¤y nåm g¥n ðây, không ai biªt ngu°n g¯c cüa nó. Sau khi tu luy®n có th¬ nâng cao mÑc nµi lñc cüa ð® tØ Tiêu Dao. #r#c54FF00 h÷c c¤p b§c 20.	XinFa4_6	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
55	0	D¸ch Cân Kinh	Do ÐÕt Ma Sß T± tÕo ra, Thiªu Lâm ð® nh¤t tuy®t h÷c, các võ công bình thß¶ng thi tri¬n b¢ng Dich Cân Kinh s¨ cân b¢ng t× suy yªu tr· nên th¥n kì. Sau khi h÷c có th¬ tång tÖ l® hµi tâm cüa ð® tØ Thiªu Lâm.#r#c54FF00ÐÆng c¤p h÷c 35	XinFa4_7	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
56	1	CØu Dß½ng Thiên Thß	Chân kinh này n¢m trong ÐÕt ma thü thß quy¬n thÑ 4 Lång Già Kinh, là t¤t cä nhæng gì trong 10 nåm mà Minh Giáo có ðßþc, h¤p thø khí tr¶i. Sau khi h÷c có th¬ tång tÖ l® hµi tâm cüa ð® tØ Minh Giáo.#r#c54FF00ÐÆng c¤p h÷c 35	XinFa4_8	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
57	2	Ðä C¦u B±ng Pháp	Là võ công mà t± sß gia sáng l§p Cái Bang sáng l§p, chiêu thÑc biªn hóa kì di®u. Sau khi h÷c có th¬ tång tÖ l® hµi tâm cüa ð® tØ Cái Bang.#r#c54FF00ÐÆng c¤p h÷c 35	XinFa4_9	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
58	3	Tiên Thiên Công	Phß½ng pháp hô h¤p luy®n khí mà ðÕo gia tiên hi«n Xich Tùng TØ, có th¬ hµi tø Tam bäo nguyên khí, Nguyên th¥n, Nguyên tinh trên ngß¶i. Sau khi h÷c có th¬ tång tÖ l® hµi tâm cüa ð® tØ Võ Ðang.#r#c54FF00ÐÆng c¤p h÷c 35	XinFa4_10	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
59	4	CØu Âm Thiên Thß	Danh tr¤n giang h° võ h÷c chi bäo, b¡t ngu°n t× ðÕo kinh, nµi dung bát ðÕi tinh thâm, bao g°m cä nµi công và ngoÕi công. Sau khi h÷c có th¬ tång tÖ l® hµi tâm cüa ð® tØ Nga Mi.#r#c54FF00ÐÆng c¤p h÷c 35	XinFa4_11	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
60	5	Hóa Công ÐÕi Pháp	T× c½ s· cüa B¡c Minh Th¥n Công cüa Tiêu Dao phái mà có võ công kÏ môn này, có th¬ dùng công phu bá ðÕo hóa giäi nµi lñc cüa kë ð¸ch. Sau khi h÷c có th¬ tång tÖ l® hµi tâm cüa ð® tØ Tinh Túc.#r#c54FF00ÐÆng c¤p h÷c 35	XinFa4_12	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
61	6	Løc MÕch Th¥n Kiªm	Võ lâm tuy®t h÷c, Thiên long Tñ tr¤n tñ chi bäo, Thiên hÕ ð® nh¤t kiªm pháp, cùng nµi lñc thâm h§u chuy¬n thành vô hình kiªm khí sát thß½ng ngß¶i, uy lñc vô cùng. Sau khi h÷c có th¬ tång tÖ l® hµi tâm cüa ð® tØ Thiên Long.#r#c54FF00ÐÆng c¤p h÷c 35	XinFa4_13	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
62	7	Sinh TØ Phù	Linh ThÑu Cung Tr¤n Cung chi bäo, là cùng thiên s½n løc dß½ng chi lñc hóa thüy thành bång, mang nµi lñc thâm h§u thành bång, khóa ch£t huy®t ðÕo kë ð¸ch. Sau khi h÷c xong tång tÖ l® hµi tâm cüa ð® tØ Thiên S½n.#r#c54FF00ÐÆng c¤p h÷c 35	XinFa4_14	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
63	8	B¡c Minh Th¥n Công	Tiêu Dao phái tuy®t thª th¥n công, tiªt ki®m nµi lñc là hàng ð¥u. Do Chi B¡c Minh, ðÕi chu ti¬u chu vô b¤t täi, ðÕi ngß ti¬u ngß vô b¤t dung. Sau khi h÷c có th¬ tång tÖ l® hµi tâm cüa Tiêu Dao ð® tØ.#r#c54FF00ÐÆng c¤p h÷c 35	XinFa4_15	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
64	10	Giang Nam Kiªm Quyªt	Mµ Dung thª gia v¯n s¯ng tÕi vùng Giang Nam, mô phöng dòng nß¾c nhánh li­u Giang Nam ð¬ sáng tÕo ra kiªm pháp, chiêu kiªm liên miên không dÑt, kiªm ý phiêu d§t tñ tÕi. Sau khi h÷c có th¬ tång tÖ l® chính xác cüa ð® tØ Mµ Dung.#r#c54FF00C¤p h÷c 10	FightSkillMurong1_6	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
65	10	Sát Trß¶ng Quyªt	Ð® tØ Mµ Dung thª gia giªt ð¸ch trên chiªn trß¶ng, dùng máu th¸t cüa mình ð¬ rèn luy®n võ công giªt ð¸ch, chï c¥n ra tay là có th¬ cäm nh§n cänh gi¾i dûng vû cüa công pháp này. Sau khi h÷c có th¬ tång tÖ l® né tránh cüa ð® tØ Mµ Dung.#r#c54FF00C¤p h÷c 20	FightSkillMurong_14	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
66	10	Viêm Dß½ng Tâm Pháp	Nµi kình bá ðÕo cüa riêng Mµ Dung thª gia, khi thi tri¬n mÕnh m¨ nhß m£t tr¶i rñc rÞ, khiªn ngß¶i khác không dám ð¯i phó trñc di®n. Sau khi h÷c có th¬ tång sinh m®nh cüa ð® tØ Mµ Dung.#r#c54FF00C¤p h÷c 20	FightSkillMurong_5	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
67	10	Thanh Vân Bí T¸ch	Các b§c ti«n b¯i cüa Mµ Dung thª gia ngµ ra công pháp này khi quan sát sñ thay ð±i cüa mây mù, sau khi thi tri¬n s¨ khiªn kë ð¸ch nhß b¸ mây mù bao quanh, không rõ phß½ng hß¾ng. Sau khi h÷c có th¬ tång nµi thü cüa ð® tØ Mµ Dung.#r#c54FF00C¤p h÷c 10	FightSkillMurong_15	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
68	10	Sß½ng Lînh Kiªm Thu§t	Kiªm thu§t t×ng xßng bá Lînh Nam, ðßþc Mµ Dung thª gia truy«n dÕy cho các ð® tØ trong môn phái, thª kiªm luôn tiªn thÆng v« phía trß¾c. Sau khi h÷c có th¬ tång nµi công cüa ð® tØ Mµ Dung.#r#c54FF00C¤p h÷c 10	FightSkillMurong_13	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
69	10	Tinh Nguy®t Yêu Thu§t	Mµ Dung thª gia dña vào thiên tßþng chiêm tinh b¯c quë, lînh hµi thuyªt luân h°i cüa tr¶i ð¤t, sau khi thi tri¬n nhß trång m÷c sao sa, tu¥n hoàn không dÑt. Sau khi h÷c có th¬ tång gi¾i hÕn khí cüa ð® tØ Mµ Dung.#r#c54FF00C¤p h÷c 20	FightSkillMurong_7	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
70	10	Tham Hþp Công	Tuy®t h÷c cüa Mµ Dung thª gia, lînh ngµ càn khôn chi lñc, có th¬ mßþn sÑc mÕnh cüa tr¶i ð¤t, ðäo ngßþc càn khôn. Sau khi h÷c có th¬ tång tÖ l® hµi công cüa ð® tØ Mµ Dung.#r#c54FF00C¤p h÷c 35	FightSkillMurong2_3	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
71	10	Ðµn Dân Ði¬n Bí	Bí t¸ch ghi lÕi tinh túy võ h÷c cüa các b§c ti«n b¯i Mµ Dung. ÐÕi ðÕo quy nh¤t, ðÕt ðªn ðïnh cao. Sau khi h÷c có th¬ tång sinh m®nh cüa ð® tØ Mµ Dung.#r#c54FF00C¤p h÷c 80	FightSkillaoyi_3	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
72	0	Huy«n Cß½ng Ði¬n Bí	Bí t¸ch ghi lÕi tinh túy võ h÷c cüa các b§c ti«n b¯i Thiªu Lâm. ÐÕi ðÕo quy nh¤t, ðÕt ðªn ðïnh cao. Sau khi h÷c có th¬ tång sinh m®nh cüa ð® tØ Thiªu Lâm.#r#c54FF00C¤p h÷c 80	FightSkillaoyi_6	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
73	1	Thiên Th¥n Ði¬n Bí	Bí t¸ch ghi lÕi tinh túy võ h÷c cüa các b§c ti«n b¯i Minh Giáo. ÐÕi ðÕo quy nh¤t, ðÕt ðªn ðïnh cao. Sau khi h÷c có th¬ tång sinh m®nh cüa ð® tØ Minh Giáo.#r#c54FF00C¤p h÷c 80	FightSkillaoyi_4	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
74	2	Ð¸a Vçn Ði¬n Bí	Bí t¸ch ghi lÕi tinh túy võ h÷c cüa các b§c ti«n b¯i Cái Bang. ÐÕi ðÕo quy nh¤t, ðÕt ðªn ðïnh cao. Sau khi h÷c có th¬ tång sinh m®nh cüa ð® tØ Cái Bang.#r#c54FF00C¤p h÷c 80	FightSkillaoyi_2	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
75	3	Trø Khung Ði¬n Bí	Bí t¸ch ghi lÕi tinh túy võ h÷c cüa các b§c ti«n b¯i Võ Ðang. ÐÕi ðÕo quy nh¤t, ðÕt ðªn ðïnh cao. Sau khi h÷c có th¬ tång sinh m®nh cüa ð® tØ Võ Ðang.#r#c54FF00C¤p h÷c 80	FightSkillaoyi_8	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
76	4	H²n Mang Ði¬n Bí	Bí t¸ch ghi lÕi tinh túy võ h÷c cüa các b§c ti«n b¯i Nga My. ÐÕi ðÕo quy nh¤t, ðÕt ðªn ðïnh cao. Sau khi h÷c có th¬ tång sinh m®nh cüa ð® tØ Nga My.#r#c54FF00C¤p h÷c 80	FightSkillaoyi_1	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
77	5	Hoang Lûy Ði¬n Bí	Bí t¸ch ghi lÕi tinh túy võ h÷c cüa các b§c ti«n b¯i Tinh Túc. ÐÕi ðÕo quy nh¤t, ðÕt ðªn ðïnh cao. Sau khi h÷c có th¬ tång sinh m®nh cüa ð® tØ Tinh Túc.#r#c54FF00C¤p h÷c 80	FightSkillaoyi_10	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
78	6	Hoàng S¥m Ði¬n Bí	Bí t¸ch ghi lÕi tinh túy võ h÷c cüa các b§c ti«n b¯i Thiên Long. ÐÕi ðÕo quy nh¤t, ðÕt ðªn ðïnh cao. Sau khi h÷c có th¬ tång sinh m®nh cüa ð® tØ Thiên Long.#r#c54FF00C¤p h÷c 80	FightSkillaoyi_5	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
79	7	H°ng Tinh Ði¬n Bí	Bí t¸ch ghi lÕi tinh túy võ h÷c cüa các b§c ti«n b¯i Thiên S½n. ÐÕi ðÕo quy nh¤t, ðÕt ðªn ðïnh cao. Sau khi h÷c có th¬ tång sinh m®nh cüa ð® tØ Thiên S½n.#r#c54FF00C¤p h÷c 80	FightSkillaoyi_7	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
80	8	Vû Cñc Ði¬n Bí	Bí t¸ch ghi lÕi tinh túy võ h÷c cüa các b§c ti«n b¯i Tiêu Dao. ÐÕi ðÕo quy nh¤t, ðÕt ðªn ðïnh cao. Sau khi h÷c có th¬ tång sinh m®nh cüa ð® tØ Tiêu Dao.#r#c54FF00C¤p h÷c 80	FightSkillaoyi_9	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
