INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1038006	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	80	-1	-1	-1	1		1	84	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038007	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	90	-1	-1	-1	1		1	85	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038100	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		1	78	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038101	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		1	79	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038102	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		1	80	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038103	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		1	81	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038104	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		1	82	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038010	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_04}#Y%i#{YN_lootitem_03}	#{YN_lootitem_52}#Y%i#{YN_lootitem_53}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		1	70	100	5																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038011	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_04}#Y%i#{YN_lootitem_03}	#{YN_lootitem_52}#Y%i#{YN_lootitem_53}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	30	-1	-1	-1	1		1	71	100	5																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038012	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_05}#Y%i#{YN_lootitem_03}	#{YN_lootitem_54}#Y%i#{YN_lootitem_55}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	40	-1	-1	-1	1		1	72	100	10																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038013	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_05}#Y%i#{YN_lootitem_03}	#{YN_lootitem_54}#Y%i#{YN_lootitem_55}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	50	-1	-1	-1	1		1	73	100	10																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038014	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_05}#Y%i#{YN_lootitem_03}	#{YN_lootitem_54}#Y%i#{YN_lootitem_55}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	60	-1	-1	-1	1		1	74	100	10																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038015	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_06}#Y%i#{YN_lootitem_03}	#{YN_lootitem_56}#Y%i#{YN_lootitem_57}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	70	-1	-1	-1	1		1	75	100	20																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038016	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_06}#Y%i#{YN_lootitem_03}	#{YN_lootitem_56}#Y%i#{YN_lootitem_57}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	80	-1	-1	-1	1		1	76	100	20																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038017	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_06}#Y%i#{YN_lootitem_03}	#{YN_lootitem_56}#Y%i#{YN_lootitem_57}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	90	-1	-1	-1	1		1	77	100	20																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038110	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_07}#Y%i#{YN_lootitem_03}	#{YN_lootitem_58}#Y%i#{YN_lootitem_59}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		1	70	100	5																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038111	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_08}#Y%i#{YN_lootitem_03}	#{YN_lootitem_60}#Y%i#{YN_lootitem_59}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		1	71	100	6																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038112	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_09}#Y%i#{YN_lootitem_03}	#{YN_lootitem_61}#Y%i#{YN_lootitem_59}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		1	72	100	7																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038113	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_10}#Y%i#{YN_lootitem_03}	#{YN_lootitem_62}#Y%i#{YN_lootitem_59}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		1	73	100	8																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038114	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_11}#Y%i#{YN_lootitem_03}	#{YN_lootitem_63}#Y%i#{YN_lootitem_59}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		1	74	100	9																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038020	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_453}	#{RW_20080321_469}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1	Hoa Cäng Ðµc Phong	0	40004317	100	2																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038021	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_454}	#{RW_20080321_470}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1	ÐoÕn Ki«u Hoa Yêu	0	40004318	100	2																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038022	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_455}	#{RW_20080321_471}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	30	-1	-1	-1	1	Kim Ti«n Báo	0	40004319	100	2																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038023	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_456}	#{RW_20080321_472}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	30	-1	-1	-1	1	T¥n Gia TrÕi Thám TØ	0	40004320	100	2																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038024	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_457}	#{RW_20080321_473}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	40	-1	-1	-1	1	Lang Tµc Th¥n Hán	0	40004321	100	3																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038025	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_458}	#{RW_20080321_474}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	40	-1	-1	-1	1	Tuyªt Lang	0	40004322	100	3																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038026	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_459}	#{RW_20080321_475}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	50	-1	-1	-1	1	BÕch Hoa Tri Thù	0	40004323	100	3																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038027	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_460}	#{RW_20080321_476}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	50	-1	-1	-1	1	S½n Vi®t ÐÕo Phï	0	40004324	100	3																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038028	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_461}	#{RW_20080321_477}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	60	-1	-1	-1	1	Mông C± H¡c Phong	0	40004325	100	4																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038029	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_462}	#{RW_20080321_478}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	60	-1	-1	-1	1	Truy Phong Mã Phï	0	40004326	100	4																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038030	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_463}	#{RW_20080321_479}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	70	-1	-1	-1	1	Vân Mçu ThÕch Nhân	0	40004327	100	4																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038031	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_464}	#{RW_20080321_480}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	70	-1	-1	-1	1	Long Huyªt ThÕch Nhân	0	40004328	100	4																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038032	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_465}	#{RW_20080321_481}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	80	-1	-1	-1	1	NgÕc Ngß Bang T£c Ð°	0	40004329	100	6																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038033	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_466}	#{RW_20080321_482}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	80	-1	-1	-1	1	ThÕch Lão Nhân	0	40004330	100	6																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038034	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_467}	#{RW_20080321_483}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	90	-1	-1	-1	1	Th¸ Huyªt NgÕc Ngß	0	40004331	100	6																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038035	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{RW_20080321_468}	#{RW_20080321_484}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	90	-1	-1	-1	1	NgÕc Ngß Bang Dûng Sî	0	40004332	100	6																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038036	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_12}%i#{YN_lootitem_13}	#{YN_lootitem_64}%R#{YN_lootitem_65}%i#{YN_lootitem_66}	#{RW_20080321_487}	#{RW_20080321_488}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		2	6	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038037	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_12}%i#{YN_lootitem_13}	#{YN_lootitem_64}%R#{YN_lootitem_65}%i#{YN_lootitem_66}	#{RW_20080321_487}	#{RW_20080321_488}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		2	7	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038038	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_12}%i#{YN_lootitem_13}	#{YN_lootitem_64}%R#{YN_lootitem_65}%i#{YN_lootitem_66}	#{RW_20080321_487}	#{RW_20080321_488}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		2	8	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038039	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_12}%i#{YN_lootitem_13}	#{YN_lootitem_64}%R#{YN_lootitem_65}%i#{YN_lootitem_66}	#{RW_20080321_487}	#{RW_20080321_488}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		2	9	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038040	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_12}%i#{YN_lootitem_13}	#{YN_lootitem_64}%R#{YN_lootitem_65}%i#{YN_lootitem_66}	#{RW_20080321_487}	#{RW_20080321_488}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		2	10	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1039000	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{RW_20080321_489}	#{RW_20080321_495}	#{RW_20080321_501}	#{RW_20080321_502}			0	0	Gia Lu§t ÐÕi ThÕch	0	40	-1	-1	-1	1	T¥n Gia TrÕi Th± Phï	0	40004391	100	5																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039001	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{RW_20080321_490}	#{RW_20080321_496}	#{RW_20080321_501}	#{RW_20080321_502}			0	0	Gia Lu§t ÐÕi ThÕch	0	50	-1	-1	-1	1	S½n Vi®t ÐÕo Phï	0	40004392	100	5																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039002	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{RW_20080321_491}	#{RW_20080321_497}	#{RW_20080321_501}	#{RW_20080321_502}			0	0	Gia Lu§t ÐÕi ThÕch	0	60	-1	-1	-1	1	Tùng Lâm Dã Nhân	0	40004393	100	7																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039003	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{RW_20080321_492}	#{RW_20080321_498}	#{RW_20080321_501}	#{RW_20080321_502}			0	0	Gia Lu§t ÐÕi ThÕch	0	70	-1	-1	-1	1	H¡c Y Mã Phï	0	40004394	100	7																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039004	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{RW_20080321_493}	#{RW_20080321_499}	#{RW_20080321_501}	#{RW_20080321_502}			0	0	Gia Lu§t ÐÕi ThÕch	0	80	-1	-1	-1	1	Ð¢ng Giáp T£c	0	40004395	100	10																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039005	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{RW_20080321_494}	#{RW_20080321_500}	#{RW_20080321_501}	#{RW_20080321_502}			0	0	Gia Lu§t ÐÕi ThÕch	0	90	-1	-1	-1	1	Vînh DÕ Tu La	0	40004396	100	10																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039006	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_14}%i#{YN_lootitem_17}	#{YN_lootitem_67}%i#{YN_lootitem_68}	#{RW_20080321_509}	#{RW_20080321_510}			0	0	Gia Lu§t ÐÕi ThÕch	0	40	-1	-1	-1	1		1	64	100	2																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039007	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_14}%i#{YN_lootitem_17}	#{YN_lootitem_67}%i#{YN_lootitem_68}	#{RW_20080321_509}	#{RW_20080321_510}			0	0	Gia Lu§t ÐÕi ThÕch	0	50	-1	-1	-1	1		1	65	100	2																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039008	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_15}%i#{YN_lootitem_17}	#{YN_lootitem_69}%i#{YN_lootitem_68}	#{RW_20080321_509}	#{RW_20080321_510}			0	0	Gia Lu§t ÐÕi ThÕch	0	60	-1	-1	-1	1		1	66	100	4																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039009	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_15}%i#{YN_lootitem_17}	#{YN_lootitem_69}%i#{YN_lootitem_68}	#{RW_20080321_509}	#{RW_20080321_510}			0	0	Gia Lu§t ÐÕi ThÕch	0	70	-1	-1	-1	1		1	67	100	4																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039010	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_16}%i#{YN_lootitem_17}	#{YN_lootitem_70}%i#{YN_lootitem_68}	#{RW_20080321_509}	#{RW_20080321_510}			0	0	Gia Lu§t ÐÕi ThÕch	0	80	-1	-1	-1	1		1	68	100	8																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039011	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_16}%i#{YN_lootitem_17}	#{YN_lootitem_70}%i#{YN_lootitem_68}	#{RW_20080321_509}	#{RW_20080321_510}			0	0	Gia Lu§t ÐÕi ThÕch	0	90	-1	-1	-1	1		1	69	100	8																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039020	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_18}%i#{YN_lootitem_19}	#{YN_lootitem_71}%i#{YN_lootitem_72}	#{RW_20080321_513}	#{RW_20080321_514}			0	0	Gia Lu§t ÐÕi ThÕch	0	40	-1	-1	-1	1		2	36	100	1																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039021	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_18}%i#{YN_lootitem_19}	#{YN_lootitem_71}%i#{YN_lootitem_72}	#{RW_20080321_513}	#{RW_20080321_514}			0	0	Gia Lu§t ÐÕi ThÕch	0	40	-1	-1	-1	1		2	37	100	1																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039022	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_18}%i#{YN_lootitem_19}	#{YN_lootitem_71}%i#{YN_lootitem_72}	#{RW_20080321_513}	#{RW_20080321_514}			0	0	Gia Lu§t ÐÕi ThÕch	0	40	-1	-1	-1	1		2	38	100	1																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039023	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_18}%i#{YN_lootitem_19}	#{YN_lootitem_71}%i#{YN_lootitem_72}	#{RW_20080321_513}	#{RW_20080321_514}			0	0	Gia Lu§t ÐÕi ThÕch	0	40	-1	-1	-1	1		2	39	100	1																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039024	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_18}%i#{YN_lootitem_19}	#{YN_lootitem_71}%i#{YN_lootitem_72}	#{RW_20080321_513}	#{RW_20080321_514}			0	0	Gia Lu§t ÐÕi ThÕch	0	40	-1	-1	-1	1		2	40	100	1																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039100	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_20}%i#{YN_lootitem_25}	#{YN_lootitem_73}%i#{YN_lootitem_74}	#{RW_20080321_525}	#{RW_20080321_526}			0	0	Gia Lu§t ÐÕi ThÕch	0	40	-1	-1	-1	1		1	64	100	2																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039101	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_21}%i#{YN_lootitem_25}	#{YN_lootitem_75}%i#{YN_lootitem_74}	#{RW_20080321_525}	#{RW_20080321_526}			0	0	Gia Lu§t ÐÕi ThÕch	0	40	-1	-1	-1	1		1	65	100	3																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039102	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_22}%i#{YN_lootitem_25}	#{YN_lootitem_76}%i#{YN_lootitem_74}	#{RW_20080321_525}	#{RW_20080321_526}			0	0	Gia Lu§t ÐÕi ThÕch	0	40	-1	-1	-1	1		1	66	100	4																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039103	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_23}%i#{YN_lootitem_25}	#{YN_lootitem_77}%i#{YN_lootitem_74}	#{RW_20080321_525}	#{RW_20080321_526}			0	0	Gia Lu§t ÐÕi ThÕch	0	40	-1	-1	-1	1		1	67	100	5																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
1039104	101	10	0	1	0	1	118	62	Nhi®m vø cüa Tiêu Phong	#{YN_lootitem_24}%i#{YN_lootitem_25}	#{YN_lootitem_78}%i#{YN_lootitem_74}	#{RW_20080321_525}	#{RW_20080321_526}			0	0	Gia Lu§t ÐÕi ThÕch	0	40	-1	-1	-1	1		1	68	100	6																							99	1	#{YN_lootitem_113}	2	#{YN_lootitem_126}	91	900	#{YN_lootitem_138}																											
