INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10300404	1	30505908	5	-1	-1	-1	-1	10300404	10300404	10300404	10300404	10300404	10300404	10300404	10300404	10300404	10300404	10300404	50000
10300405	1	30505908	5	-1	-1	-1	-1	10300405	10300405	10300405	10300405	10300405	10300405	10300405	10300405	10300405	10300405	10300405	50000
10300406	1	30505908	5	-1	-1	-1	-1	10300406	10300406	10300406	10300406	10300406	10300406	10300406	10300406	10300406	10300406	10300406	50000
10300407	1	30505908	5	-1	-1	-1	-1	10300407	10300407	10300407	10300407	10300407	10300407	10300407	10300407	10300407	10300407	10300407	50000
10300408	1	30505908	5	-1	-1	-1	-1	10300408	10300408	10300408	10300408	10300408	10300408	10300408	10300408	10300408	10300408	10300408	50000
10300409	1	30505908	5	-1	-1	-1	-1	10300409	10300409	10300409	10300409	10300409	10300409	10300409	10300409	10300409	10300409	10300409	50000
10300410	1	30505908	5	-1	-1	-1	-1	10300410	10300410	10300410	10300410	10300410	10300410	10300410	10300410	10300410	10300410	10300410	50000
10300411	1	30505908	5	-1	-1	-1	-1	10300411	10300411	10300411	10300411	10300411	10300411	10300411	10300411	10300411	10300411	10300411	50000
10300412	1	30505908	5	-1	-1	-1	-1	10300412	10300412	10300412	10300412	10300412	10300412	10300412	10300412	10300412	10300412	10300412	50000
10301408	1	30505908	5	-1	-1	-1	-1	10301408	10301408	10301408	10301408	10301408	10301408	10301408	10301408	10301408	10301408	10301408	50000
10301409	1	30505908	5	-1	-1	-1	-1	10301409	10301409	10301409	10301409	10301409	10301409	10301409	10301409	10301409	10301409	10301409	50000
10301410	1	30505908	5	-1	-1	-1	-1	10301410	10301410	10301410	10301410	10301410	10301410	10301410	10301410	10301410	10301410	10301410	50000
10301411	1	30505908	5	-1	-1	-1	-1	10301411	10301411	10301411	10301411	10301411	10301411	10301411	10301411	10301411	10301411	10301411	50000
10301412	1	30505908	5	-1	-1	-1	-1	10301412	10301412	10301412	10301412	10301412	10301412	10301412	10301412	10301412	10301412	10301412	50000
10301413	1	30505908	5	-1	-1	-1	-1	10301413	10301413	10301413	10301413	10301413	10301413	10301413	10301413	10301413	10301413	10301413	50000
10301414	1	30505908	5	-1	-1	-1	-1	10301414	10301414	10301414	10301414	10301414	10301414	10301414	10301414	10301414	10301414	10301414	50000
10301415	1	30505908	5	-1	-1	-1	-1	10301415	10301415	10301415	10301415	10301415	10301415	10301415	10301415	10301415	10301415	10301415	50000
10301416	1	30505908	5	-1	-1	-1	-1	10301416	10301416	10301416	10301416	10301416	10301416	10301416	10301416	10301416	10301416	10301416	50000
10301417	1	30505908	5	-1	-1	-1	-1	10301417	10301417	10301417	10301417	10301417	10301417	10301417	10301417	10301417	10301417	10301417	50000
10301418	1	30505908	5	-1	-1	-1	-1	10301418	10301418	10301418	10301418	10301418	10301418	10301418	10301418	10301418	10301418	10301418	50000
10301419	1	30505908	5	-1	-1	-1	-1	10301419	10301419	10301419	10301419	10301419	10301419	10301419	10301419	10301419	10301419	10301419	50000
10301420	1	30505908	5	-1	-1	-1	-1	10301420	10301420	10301420	10301420	10301420	10301420	10301420	10301420	10301420	10301420	10301420	50000
10301421	1	30505908	5	-1	-1	-1	-1	10301421	10301421	10301421	10301421	10301421	10301421	10301421	10301421	10301421	10301421	10301421	50000
10301422	1	30505908	5	-1	-1	-1	-1	10301422	10301422	10301422	10301422	10301422	10301422	10301422	10301422	10301422	10301422	10301422	50000
10301423	1	30505908	5	-1	-1	-1	-1	10301423	10301423	10301423	10301423	10301423	10301423	10301423	10301423	10301423	10301423	10301423	50000
10301424	1	30505908	5	-1	-1	-1	-1	10301424	10301424	10301424	10301424	10301424	10301424	10301424	10301424	10301424	10301424	10301424	50000
10301425	1	30505908	5	-1	-1	-1	-1	10301425	10301425	10301425	10301425	10301425	10301425	10301425	10301425	10301425	10301425	10301425	50000
10302412	1	30505908	5	-1	-1	-1	-1	10302412	10302412	10302412	10302412	10302412	10302412	10302412	10302412	10302412	10302412	10302412	50000
10302413	1	30505908	5	-1	-1	-1	-1	10302413	10302413	10302413	10302413	10302413	10302413	10302413	10302413	10302413	10302413	10302413	50000
10302414	1	30505908	5	-1	-1	-1	-1	10302414	10302414	10302414	10302414	10302414	10302414	10302414	10302414	10302414	10302414	10302414	50000
10302415	1	30505908	5	-1	-1	-1	-1	10302415	10302415	10302415	10302415	10302415	10302415	10302415	10302415	10302415	10302415	10302415	50000
10302416	1	30505908	5	-1	-1	-1	-1	10302416	10302416	10302416	10302416	10302416	10302416	10302416	10302416	10302416	10302416	10302416	50000
10302417	1	30505908	5	-1	-1	-1	-1	10302417	10302417	10302417	10302417	10302417	10302417	10302417	10302417	10302417	10302417	10302417	50000
10302418	1	30505908	5	-1	-1	-1	-1	10302418	10302418	10302418	10302418	10302418	10302418	10302418	10302418	10302418	10302418	10302418	50000
10302419	1	30505908	5	-1	-1	-1	-1	10302419	10302419	10302419	10302419	10302419	10302419	10302419	10302419	10302419	10302419	10302419	50000
10302420	1	30505908	5	-1	-1	-1	-1	10302420	10302420	10302420	10302420	10302420	10302420	10302420	10302420	10302420	10302420	10302420	50000
10302421	1	30505908	5	-1	-1	-1	-1	10302421	10302421	10302421	10302421	10302421	10302421	10302421	10302421	10302421	10302421	10302421	50000
10302422	1	30505908	5	-1	-1	-1	-1	10302422	10302422	10302422	10302422	10302422	10302422	10302422	10302422	10302422	10302422	10302422	50000
10302423	1	30505908	5	-1	-1	-1	-1	10302423	10302423	10302423	10302423	10302423	10302423	10302423	10302423	10302423	10302423	10302423	50000
10302424	1	30505908	5	-1	-1	-1	-1	10302424	10302424	10302424	10302424	10302424	10302424	10302424	10302424	10302424	10302424	10302424	50000
10302425	1	30505908	5	-1	-1	-1	-1	10302425	10302425	10302425	10302425	10302425	10302425	10302425	10302425	10302425	10302425	10302425	50000
10302426	1	30505908	5	-1	-1	-1	-1	10302426	10302426	10302426	10302426	10302426	10302426	10302426	10302426	10302426	10302426	10302426	50000
10302427	1	30505908	5	-1	-1	-1	-1	10302427	10302427	10302427	10302427	10302427	10302427	10302427	10302427	10302427	10302427	10302427	50000
10302428	1	30505908	5	-1	-1	-1	-1	10302428	10302428	10302428	10302428	10302428	10302428	10302428	10302428	10302428	10302428	10302428	50000
10302429	1	30505908	5	-1	-1	-1	-1	10302429	10302429	10302429	10302429	10302429	10302429	10302429	10302429	10302429	10302429	10302429	50000
10303404	1	30505908	5	-1	-1	-1	-1	10303404	10303404	10303404	10303404	10303404	10303404	10303404	10303404	10303404	10303404	10303404	50000
10303405	1	30505908	5	-1	-1	-1	-1	10303405	10303405	10303405	10303405	10303405	10303405	10303405	10303405	10303405	10303405	10303405	50000
10303406	1	30505908	5	-1	-1	-1	-1	10303406	10303406	10303406	10303406	10303406	10303406	10303406	10303406	10303406	10303406	10303406	50000
10303407	1	30505908	5	-1	-1	-1	-1	10303407	10303407	10303407	10303407	10303407	10303407	10303407	10303407	10303407	10303407	10303407	50000
10303408	1	30505908	5	-1	-1	-1	-1	10303408	10303408	10303408	10303408	10303408	10303408	10303408	10303408	10303408	10303408	10303408	50000
10303409	1	30505908	5	-1	-1	-1	-1	10303409	10303409	10303409	10303409	10303409	10303409	10303409	10303409	10303409	10303409	10303409	50000
10303410	1	30505908	5	-1	-1	-1	-1	10303410	10303410	10303410	10303410	10303410	10303410	10303410	10303410	10303410	10303410	10303410	50000
10303411	1	30505908	5	-1	-1	-1	-1	10303411	10303411	10303411	10303411	10303411	10303411	10303411	10303411	10303411	10303411	10303411	50000
10303412	1	30505908	5	-1	-1	-1	-1	10303412	10303412	10303412	10303412	10303412	10303412	10303412	10303412	10303412	10303412	10303412	50000
10303413	1	30505908	5	-1	-1	-1	-1	10303413	10303413	10303413	10303413	10303413	10303413	10303413	10303413	10303413	10303413	10303413	50000
10303414	1	30505908	5	-1	-1	-1	-1	10303414	10303414	10303414	10303414	10303414	10303414	10303414	10303414	10303414	10303414	10303414	50000
10303415	1	30505908	5	-1	-1	-1	-1	10303415	10303415	10303415	10303415	10303415	10303415	10303415	10303415	10303415	10303415	10303415	50000
10303416	1	30505908	5	-1	-1	-1	-1	10303416	10303416	10303416	10303416	10303416	10303416	10303416	10303416	10303416	10303416	10303416	50000
10303417	1	30505908	5	-1	-1	-1	-1	10303417	10303417	10303417	10303417	10303417	10303417	10303417	10303417	10303417	10303417	10303417	50000
10303418	1	30505908	5	-1	-1	-1	-1	10303418	10303418	10303418	10303418	10303418	10303418	10303418	10303418	10303418	10303418	10303418	50000
10303419	1	30505908	5	-1	-1	-1	-1	10303419	10303419	10303419	10303419	10303419	10303419	10303419	10303419	10303419	10303419	10303419	50000
10303420	1	30505908	5	-1	-1	-1	-1	10303420	10303420	10303420	10303420	10303420	10303420	10303420	10303420	10303420	10303420	10303420	50000
10303421	1	30505908	5	-1	-1	-1	-1	10303421	10303421	10303421	10303421	10303421	10303421	10303421	10303421	10303421	10303421	10303421	50000
10304408	1	30505908	5	-1	-1	-1	-1	10304408	10304408	10304408	10304408	10304408	10304408	10304408	10304408	10304408	10304408	10304408	50000
10304409	1	30505908	5	-1	-1	-1	-1	10304409	10304409	10304409	10304409	10304409	10304409	10304409	10304409	10304409	10304409	10304409	50000
10304410	1	30505908	5	-1	-1	-1	-1	10304410	10304410	10304410	10304410	10304410	10304410	10304410	10304410	10304410	10304410	10304410	50000
10304411	1	30505908	5	-1	-1	-1	-1	10304411	10304411	10304411	10304411	10304411	10304411	10304411	10304411	10304411	10304411	10304411	50000
10304412	1	30505908	5	-1	-1	-1	-1	10304412	10304412	10304412	10304412	10304412	10304412	10304412	10304412	10304412	10304412	10304412	50000
10304413	1	30505908	5	-1	-1	-1	-1	10304413	10304413	10304413	10304413	10304413	10304413	10304413	10304413	10304413	10304413	10304413	50000
10304414	1	30505908	5	-1	-1	-1	-1	10304414	10304414	10304414	10304414	10304414	10304414	10304414	10304414	10304414	10304414	10304414	50000
10304415	1	30505908	5	-1	-1	-1	-1	10304415	10304415	10304415	10304415	10304415	10304415	10304415	10304415	10304415	10304415	10304415	50000
10304416	1	30505908	5	-1	-1	-1	-1	10304416	10304416	10304416	10304416	10304416	10304416	10304416	10304416	10304416	10304416	10304416	50000
10305408	1	30505908	5	-1	-1	-1	-1	10305408	10305408	10305408	10305408	10305408	10305408	10305408	10305408	10305408	10305408	10305408	50000
10305409	1	30505908	5	-1	-1	-1	-1	10305409	10305409	10305409	10305409	10305409	10305409	10305409	10305409	10305409	10305409	10305409	50000
10305410	1	30505908	5	-1	-1	-1	-1	10305410	10305410	10305410	10305410	10305410	10305410	10305410	10305410	10305410	10305410	10305410	50000
10305411	1	30505908	5	-1	-1	-1	-1	10305411	10305411	10305411	10305411	10305411	10305411	10305411	10305411	10305411	10305411	10305411	50000
10305412	1	30505908	5	-1	-1	-1	-1	10305412	10305412	10305412	10305412	10305412	10305412	10305412	10305412	10305412	10305412	10305412	50000
10305413	1	30505908	5	-1	-1	-1	-1	10305413	10305413	10305413	10305413	10305413	10305413	10305413	10305413	10305413	10305413	10305413	50000
10305414	1	30505908	5	-1	-1	-1	-1	10305414	10305414	10305414	10305414	10305414	10305414	10305414	10305414	10305414	10305414	10305414	50000
10305415	1	30505908	5	-1	-1	-1	-1	10305415	10305415	10305415	10305415	10305415	10305415	10305415	10305415	10305415	10305415	10305415	50000
10305416	1	30505908	5	-1	-1	-1	-1	10305416	10305416	10305416	10305416	10305416	10305416	10305416	10305416	10305416	10305416	10305416	50000
10305417	1	30505908	5	-1	-1	-1	-1	10305417	10305417	10305417	10305417	10305417	10305417	10305417	10305417	10305417	10305417	10305417	50000
10305418	1	30505908	5	-1	-1	-1	-1	10305418	10305418	10305418	10305418	10305418	10305418	10305418	10305418	10305418	10305418	10305418	50000
10305419	1	30505908	5	-1	-1	-1	-1	10305419	10305419	10305419	10305419	10305419	10305419	10305419	10305419	10305419	10305419	10305419	50000
10305420	1	30505908	5	-1	-1	-1	-1	10305420	10305420	10305420	10305420	10305420	10305420	10305420	10305420	10305420	10305420	10305420	50000
10305421	1	30505908	5	-1	-1	-1	-1	10305421	10305421	10305421	10305421	10305421	10305421	10305421	10305421	10305421	10305421	10305421	50000
10305422	1	30505908	5	-1	-1	-1	-1	10305422	10305422	10305422	10305422	10305422	10305422	10305422	10305422	10305422	10305422	10305422	50000
10305423	1	30505908	5	-1	-1	-1	-1	10305423	10305423	10305423	10305423	10305423	10305423	10305423	10305423	10305423	10305423	10305423	50000
10305424	1	30505908	5	-1	-1	-1	-1	10305424	10305424	10305424	10305424	10305424	10305424	10305424	10305424	10305424	10305424	10305424	50000
10305425	1	30505908	5	-1	-1	-1	-1	10305425	10305425	10305425	10305425	10305425	10305425	10305425	10305425	10305425	10305425	10305425	50000
10300413	1	30505908	5	-1	-1	-1	-1	10300413	10300413	10300413	10300413	10300413	10300413	10300413	10300413	10300413	10300413	10300413	50000
10300414	1	30505908	5	-1	-1	-1	-1	10300414	10300414	10300414	10300414	10300414	10300414	10300414	10300414	10300414	10300414	10300414	50000
10300415	1	30505908	5	-1	-1	-1	-1	10300415	10300415	10300415	10300415	10300415	10300415	10300415	10300415	10300415	10300415	10300415	50000
10300416	1	30505908	5	-1	-1	-1	-1	10300416	10300416	10300416	10300416	10300416	10300416	10300416	10300416	10300416	10300416	10300416	50000
10300417	1	30505908	5	-1	-1	-1	-1	10300417	10300417	10300417	10300417	10300417	10300417	10300417	10300417	10300417	10300417	10300417	50000
10300418	1	30505908	5	-1	-1	-1	-1	10300418	10300418	10300418	10300418	10300418	10300418	10300418	10300418	10300418	10300418	10300418	50000
10300419	1	30505908	5	-1	-1	-1	-1	10300419	10300419	10300419	10300419	10300419	10300419	10300419	10300419	10300419	10300419	10300419	50000
10300420	1	30505908	5	-1	-1	-1	-1	10300420	10300420	10300420	10300420	10300420	10300420	10300420	10300420	10300420	10300420	10300420	50000
10300421	1	30505908	5	-1	-1	-1	-1	10300421	10300421	10300421	10300421	10300421	10300421	10300421	10300421	10300421	10300421	10300421	50000
10301426	1	30505908	5	-1	-1	-1	-1	10301426	10301426	10301426	10301426	10301426	10301426	10301426	10301426	10301426	10301426	10301426	50000
10301427	1	30505908	5	-1	-1	-1	-1	10301427	10301427	10301427	10301427	10301427	10301427	10301427	10301427	10301427	10301427	10301427	50000
10301428	1	30505908	5	-1	-1	-1	-1	10301428	10301428	10301428	10301428	10301428	10301428	10301428	10301428	10301428	10301428	10301428	50000
10301429	1	30505908	5	-1	-1	-1	-1	10301429	10301429	10301429	10301429	10301429	10301429	10301429	10301429	10301429	10301429	10301429	50000
10301430	1	30505908	5	-1	-1	-1	-1	10301430	10301430	10301430	10301430	10301430	10301430	10301430	10301430	10301430	10301430	10301430	50000
10301431	1	30505908	5	-1	-1	-1	-1	10301431	10301431	10301431	10301431	10301431	10301431	10301431	10301431	10301431	10301431	10301431	50000
10301432	1	30505908	5	-1	-1	-1	-1	10301432	10301432	10301432	10301432	10301432	10301432	10301432	10301432	10301432	10301432	10301432	50000
10301433	1	30505908	5	-1	-1	-1	-1	10301433	10301433	10301433	10301433	10301433	10301433	10301433	10301433	10301433	10301433	10301433	50000
10301434	1	30505908	5	-1	-1	-1	-1	10301434	10301434	10301434	10301434	10301434	10301434	10301434	10301434	10301434	10301434	10301434	50000
10301435	1	30505908	5	-1	-1	-1	-1	10301435	10301435	10301435	10301435	10301435	10301435	10301435	10301435	10301435	10301435	10301435	50000
10301436	1	30505908	5	-1	-1	-1	-1	10301436	10301436	10301436	10301436	10301436	10301436	10301436	10301436	10301436	10301436	10301436	50000
10301437	1	30505908	5	-1	-1	-1	-1	10301437	10301437	10301437	10301437	10301437	10301437	10301437	10301437	10301437	10301437	10301437	50000
10301438	1	30505908	5	-1	-1	-1	-1	10301438	10301438	10301438	10301438	10301438	10301438	10301438	10301438	10301438	10301438	10301438	50000
10301439	1	30505908	5	-1	-1	-1	-1	10301439	10301439	10301439	10301439	10301439	10301439	10301439	10301439	10301439	10301439	10301439	50000
10301440	1	30505908	5	-1	-1	-1	-1	10301440	10301440	10301440	10301440	10301440	10301440	10301440	10301440	10301440	10301440	10301440	50000
10301441	1	30505908	5	-1	-1	-1	-1	10301441	10301441	10301441	10301441	10301441	10301441	10301441	10301441	10301441	10301441	10301441	50000
10301442	1	30505908	5	-1	-1	-1	-1	10301442	10301442	10301442	10301442	10301442	10301442	10301442	10301442	10301442	10301442	10301442	50000
10301443	1	30505908	5	-1	-1	-1	-1	10301443	10301443	10301443	10301443	10301443	10301443	10301443	10301443	10301443	10301443	10301443	50000
10302430	1	30505908	5	-1	-1	-1	-1	10302430	10302430	10302430	10302430	10302430	10302430	10302430	10302430	10302430	10302430	10302430	50000
10302431	1	30505908	5	-1	-1	-1	-1	10302431	10302431	10302431	10302431	10302431	10302431	10302431	10302431	10302431	10302431	10302431	50000
10302432	1	30505908	5	-1	-1	-1	-1	10302432	10302432	10302432	10302432	10302432	10302432	10302432	10302432	10302432	10302432	10302432	50000
10302433	1	30505908	5	-1	-1	-1	-1	10302433	10302433	10302433	10302433	10302433	10302433	10302433	10302433	10302433	10302433	10302433	50000
10302434	1	30505908	5	-1	-1	-1	-1	10302434	10302434	10302434	10302434	10302434	10302434	10302434	10302434	10302434	10302434	10302434	50000
10302435	1	30505908	5	-1	-1	-1	-1	10302435	10302435	10302435	10302435	10302435	10302435	10302435	10302435	10302435	10302435	10302435	50000
10302436	1	30505908	5	-1	-1	-1	-1	10302436	10302436	10302436	10302436	10302436	10302436	10302436	10302436	10302436	10302436	10302436	50000
10302437	1	30505908	5	-1	-1	-1	-1	10302437	10302437	10302437	10302437	10302437	10302437	10302437	10302437	10302437	10302437	10302437	50000
10302438	1	30505908	5	-1	-1	-1	-1	10302438	10302438	10302438	10302438	10302438	10302438	10302438	10302438	10302438	10302438	10302438	50000
10302439	1	30505908	5	-1	-1	-1	-1	10302439	10302439	10302439	10302439	10302439	10302439	10302439	10302439	10302439	10302439	10302439	50000
10302440	1	30505908	5	-1	-1	-1	-1	10302440	10302440	10302440	10302440	10302440	10302440	10302440	10302440	10302440	10302440	10302440	50000
10302441	1	30505908	5	-1	-1	-1	-1	10302441	10302441	10302441	10302441	10302441	10302441	10302441	10302441	10302441	10302441	10302441	50000
10302442	1	30505908	5	-1	-1	-1	-1	10302442	10302442	10302442	10302442	10302442	10302442	10302442	10302442	10302442	10302442	10302442	50000
10302443	1	30505908	5	-1	-1	-1	-1	10302443	10302443	10302443	10302443	10302443	10302443	10302443	10302443	10302443	10302443	10302443	50000
10302444	1	30505908	5	-1	-1	-1	-1	10302444	10302444	10302444	10302444	10302444	10302444	10302444	10302444	10302444	10302444	10302444	50000
10302445	1	30505908	5	-1	-1	-1	-1	10302445	10302445	10302445	10302445	10302445	10302445	10302445	10302445	10302445	10302445	10302445	50000
10302446	1	30505908	5	-1	-1	-1	-1	10302446	10302446	10302446	10302446	10302446	10302446	10302446	10302446	10302446	10302446	10302446	50000
10302447	1	30505908	5	-1	-1	-1	-1	10302447	10302447	10302447	10302447	10302447	10302447	10302447	10302447	10302447	10302447	10302447	50000
10303422	1	30505908	5	-1	-1	-1	-1	10303422	10303422	10303422	10303422	10303422	10303422	10303422	10303422	10303422	10303422	10303422	50000
10303423	1	30505908	5	-1	-1	-1	-1	10303423	10303423	10303423	10303423	10303423	10303423	10303423	10303423	10303423	10303423	10303423	50000
10303424	1	30505908	5	-1	-1	-1	-1	10303424	10303424	10303424	10303424	10303424	10303424	10303424	10303424	10303424	10303424	10303424	50000
10303425	1	30505908	5	-1	-1	-1	-1	10303425	10303425	10303425	10303425	10303425	10303425	10303425	10303425	10303425	10303425	10303425	50000
10303426	1	30505908	5	-1	-1	-1	-1	10303426	10303426	10303426	10303426	10303426	10303426	10303426	10303426	10303426	10303426	10303426	50000
10303427	1	30505908	5	-1	-1	-1	-1	10303427	10303427	10303427	10303427	10303427	10303427	10303427	10303427	10303427	10303427	10303427	50000
10303428	1	30505908	5	-1	-1	-1	-1	10303428	10303428	10303428	10303428	10303428	10303428	10303428	10303428	10303428	10303428	10303428	50000
10303429	1	30505908	5	-1	-1	-1	-1	10303429	10303429	10303429	10303429	10303429	10303429	10303429	10303429	10303429	10303429	10303429	50000
10303430	1	30505908	5	-1	-1	-1	-1	10303430	10303430	10303430	10303430	10303430	10303430	10303430	10303430	10303430	10303430	10303430	50000
10303431	1	30505908	5	-1	-1	-1	-1	10303431	10303431	10303431	10303431	10303431	10303431	10303431	10303431	10303431	10303431	10303431	50000
10303432	1	30505908	5	-1	-1	-1	-1	10303432	10303432	10303432	10303432	10303432	10303432	10303432	10303432	10303432	10303432	10303432	50000
10303433	1	30505908	5	-1	-1	-1	-1	10303433	10303433	10303433	10303433	10303433	10303433	10303433	10303433	10303433	10303433	10303433	50000
10303434	1	30505908	5	-1	-1	-1	-1	10303434	10303434	10303434	10303434	10303434	10303434	10303434	10303434	10303434	10303434	10303434	50000
10303435	1	30505908	5	-1	-1	-1	-1	10303435	10303435	10303435	10303435	10303435	10303435	10303435	10303435	10303435	10303435	10303435	50000
10303436	1	30505908	5	-1	-1	-1	-1	10303436	10303436	10303436	10303436	10303436	10303436	10303436	10303436	10303436	10303436	10303436	50000
10303437	1	30505908	5	-1	-1	-1	-1	10303437	10303437	10303437	10303437	10303437	10303437	10303437	10303437	10303437	10303437	10303437	50000
10303438	1	30505908	5	-1	-1	-1	-1	10303438	10303438	10303438	10303438	10303438	10303438	10303438	10303438	10303438	10303438	10303438	50000
10303439	1	30505908	5	-1	-1	-1	-1	10303439	10303439	10303439	10303439	10303439	10303439	10303439	10303439	10303439	10303439	10303439	50000
10304417	1	30505908	5	-1	-1	-1	-1	10304417	10304417	10304417	10304417	10304417	10304417	10304417	10304417	10304417	10304417	10304417	50000
10304418	1	30505908	5	-1	-1	-1	-1	10304418	10304418	10304418	10304418	10304418	10304418	10304418	10304418	10304418	10304418	10304418	50000
10304419	1	30505908	5	-1	-1	-1	-1	10304419	10304419	10304419	10304419	10304419	10304419	10304419	10304419	10304419	10304419	10304419	50000
10304420	1	30505908	5	-1	-1	-1	-1	10304420	10304420	10304420	10304420	10304420	10304420	10304420	10304420	10304420	10304420	10304420	50000
10304421	1	30505908	5	-1	-1	-1	-1	10304421	10304421	10304421	10304421	10304421	10304421	10304421	10304421	10304421	10304421	10304421	50000
10304422	1	30505908	5	-1	-1	-1	-1	10304422	10304422	10304422	10304422	10304422	10304422	10304422	10304422	10304422	10304422	10304422	50000
10304423	1	30505908	5	-1	-1	-1	-1	10304423	10304423	10304423	10304423	10304423	10304423	10304423	10304423	10304423	10304423	10304423	50000
10304424	1	30505908	5	-1	-1	-1	-1	10304424	10304424	10304424	10304424	10304424	10304424	10304424	10304424	10304424	10304424	10304424	50000
10304425	1	30505908	5	-1	-1	-1	-1	10304425	10304425	10304425	10304425	10304425	10304425	10304425	10304425	10304425	10304425	10304425	50000
10305426	1	30505908	5	-1	-1	-1	-1	10305426	10305426	10305426	10305426	10305426	10305426	10305426	10305426	10305426	10305426	10305426	50000
10305427	1	30505908	5	-1	-1	-1	-1	10305427	10305427	10305427	10305427	10305427	10305427	10305427	10305427	10305427	10305427	10305427	50000
10305428	1	30505908	5	-1	-1	-1	-1	10305428	10305428	10305428	10305428	10305428	10305428	10305428	10305428	10305428	10305428	10305428	50000
10305429	1	30505908	5	-1	-1	-1	-1	10305429	10305429	10305429	10305429	10305429	10305429	10305429	10305429	10305429	10305429	10305429	50000
10305430	1	30505908	5	-1	-1	-1	-1	10305430	10305430	10305430	10305430	10305430	10305430	10305430	10305430	10305430	10305430	10305430	50000
10305431	1	30505908	5	-1	-1	-1	-1	10305431	10305431	10305431	10305431	10305431	10305431	10305431	10305431	10305431	10305431	10305431	50000
10305432	1	30505908	5	-1	-1	-1	-1	10305432	10305432	10305432	10305432	10305432	10305432	10305432	10305432	10305432	10305432	10305432	50000
10305433	1	30505908	5	-1	-1	-1	-1	10305433	10305433	10305433	10305433	10305433	10305433	10305433	10305433	10305433	10305433	10305433	50000
10305434	1	30505908	5	-1	-1	-1	-1	10305434	10305434	10305434	10305434	10305434	10305434	10305434	10305434	10305434	10305434	10305434	50000
10305435	1	30505908	5	-1	-1	-1	-1	10305435	10305435	10305435	10305435	10305435	10305435	10305435	10305435	10305435	10305435	10305435	50000
10305436	1	30505908	5	-1	-1	-1	-1	10305436	10305436	10305436	10305436	10305436	10305436	10305436	10305436	10305436	10305436	10305436	50000
10305437	1	30505908	5	-1	-1	-1	-1	10305437	10305437	10305437	10305437	10305437	10305437	10305437	10305437	10305437	10305437	10305437	50000
10305438	1	30505908	5	-1	-1	-1	-1	10305438	10305438	10305438	10305438	10305438	10305438	10305438	10305438	10305438	10305438	10305438	50000
10305439	1	30505908	5	-1	-1	-1	-1	10305439	10305439	10305439	10305439	10305439	10305439	10305439	10305439	10305439	10305439	10305439	50000
10305440	1	30505908	5	-1	-1	-1	-1	10305440	10305440	10305440	10305440	10305440	10305440	10305440	10305440	10305440	10305440	10305440	50000
10305441	1	30505908	5	-1	-1	-1	-1	10305441	10305441	10305441	10305441	10305441	10305441	10305441	10305441	10305441	10305441	10305441	50000
10305442	1	30505908	5	-1	-1	-1	-1	10305442	10305442	10305442	10305442	10305442	10305442	10305442	10305442	10305442	10305442	10305442	50000
10305443	1	30505908	5	-1	-1	-1	-1	10305443	10305443	10305443	10305443	10305443	10305443	10305443	10305443	10305443	10305443	10305443	50000
