INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
181	23	1000	FightSkillTianShan_15				g01_buff100		½ÅÏÂ¹âÈ¦µã	0	0	1	0	0		Mai hoa tam lµng: Ğông cÑng, t¯c ğµ di chuy¬n giäm
182	182	8500	FightSkillTianShan1_4				g01_ts_buff_yangguansandie		ÉíÌåÊÜ»÷µã	0	0	0	1	0		Dß½ng quan tam ği®p: Tång hµi công
183	183	1000	FightSkillTianShan_16							0	0	0	1	0		Chiªt mai thÑc: tß thª t¤n công, tång ğµ chính xác
184	13	1000	FightSkillTianShan_9	g01_ts_zdo_renwowuxiang		ÉíÌåÊÜ»÷µã	g01_buff38		Í·¶¥×´Ì¬µã	0	1	1	0	0		Lan Hoa Ği¬m Huy®t Thü: phong huy®t, không th¬ di chuy¬n, không th¬ thñc hi®n thao tác, không b¸ t¤n công, không th¬ ğánh tïnh lÕi
185	185	1000	FightSkillTianShan_12							0	0	0	1	0		Dung tuyªt thÑc: TrÕng thái phòng thü, tÖ l® chuy¬n hoá nµ khí tång, tång khä nång né tránh
186	186	1000	FightSkillXiaoYao_2							1	0	0	0	0		Ğ£t cÕm bçy
187	100	1000	FightSkillXiaoYao_4				g01_buff10		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		Bång ba vi bµ: Tång t¯c ğµ di chuy¬n
188	11	1000	FightSkillXiaoYao_5		Skills\Xy\Xy_»­µØÎªÀÎ_»÷ÖĞ.wav		g01_xy_sf_zdo_»­µØÎªÀÎ		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		HoÕ Ğ¸a Vi Lao: vây kh¯n, không th¬ di chuy¬n, không th¬ thñc hi®n thao tác, r½i vào trÕng thái vô ğ¸ch, không b¸ t¤n công
189	189	1000	FightSkillXiaoYao_6	g01_xy_jq_zdo_»Æ½ğ¼×		ÉíÌåÊÜ»÷µã				0	0	0	1	0		Vân th¬ phong thân: Tång hµi công
190	190	1000	FightSkillXiaoYao_8							0	0	0	1	0		Hoä Nhãn Kim Tinh: tång khä nång dò thám cÕm bçy
191	191	7500	FightSkillTianShan1_3							0	1	0	1	0		Dß½ng xuân bÕch tuyªt: mi­n d¸ch v¾i mù m¡t
192	192	1000	FightSkillXiaoYao_16							0	0	0	1	0		LÕc th¥n ğ°: trÕng thái t¤n công, cÕm bçy tång hi®u quä ğ¯t cháy
193	193	1000	FightSkillXiaoYao1_1				g01_xy_sf_zt_½­ĞĞ³õÑ©		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		Giang hành s½ tuyªt: giäm th¶i gian tø khí cüa cÕm bçy Chu tiên tr§n
194	194	7500	FightSkillXiaoYao1_3							0	0	0	1	0		Ba lan b¤t kinh: mi­n d¸ch tän công
195	21	8500	FightSkillXiaoYao1_4	g01_xy_sf_zdo_ÅÅÉ½µ¹º£		ÉíÌåÊÜ»÷µã	buff_sangong_01		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		Kinh ğào hãi lãng: Tän công, không th¬ sØ døng kÛ nång môn phái
196	192	1000	FightSkillXiaoYao_12							0	0	0	1	0		ĞÕi phong cA:TrÕng thái phòng thü, tÖ l® chuy¬n hoán nµ khí tång, có xác su¤t t¤n công khiªn møc tiêu r½i vào trÕng thái ğông cÑng, giäm t¯c ğµ di chuy¬n
197	197	7500	FightSkillDaLi1_3							0	0	0	1	0		Phi khô phi vinh: Mi­n d¸ch tän công, ği¬m huy®t
198	198	8500	FightSkillDaLi1_4				g01_buff115		Í·¶¥×´Ì¬µã	0	0	0	1	0		Bách bµ xuyên dß½ng: KÛ nång t¤t trúng
199	199	8700	FightSkillEMei1_2	g01_em_zd_jiuyingshehun		ÉíÌåÊÜ»÷µã	g01_em_buff40		Í·¶¥×´Ì¬µã	0	0	0	0	0		Chiêu quân xu¤t t¡c: D¤u hi®u, khiªn møc tiêu b¸ tång mÑc sát thß½ng b·i KÛ nång môn phái Nga My phái ğä thß½ng
200	200	1000	Buff5_2	g01_lidaitaojiang		ÉíÌåÊÜ»÷µã				0	0	0	1	0		Tâm tâm tß½ng ¤n: Tång cß¶ng th¬ lñc
201	201	1000	Buff5_3	g01_lidaitaojiang		ÉíÌåÊÜ»÷µã				0	0	0	1	0		B¤t ly b¤t khí: Tång khä nång t¤n công
202	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	½ÅÏÂ¹âÈ¦µã				0	0	0	1	0		Sß môn quan hoài: Tång khä nång ngoÕi thü
203	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	½ÅÏÂ¹âÈ¦µã				0	0	0	1	0		Sß môn quan hoài: Tång khä nång ngoÕi công
204	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	½ÅÏÂ¹âÈ¦µã				0	0	0	1	0		Sß môn quan hoài: Tång khä nång né tránh
205	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	½ÅÏÂ¹âÈ¦µã				0	0	0	1	0		Sß môn quan hoài: Tång khä nång nµi công
206	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	½ÅÏÂ¹âÈ¦µã				0	0	0	1	0		Sß môn quan hoài: Tång gi¾i hÕn máu
207	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	½ÅÏÂ¹âÈ¦µã				0	0	0	1	0		Sß môn quan hoài: Tång nµi thü
208	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	½ÅÏÂ¹âÈ¦µã				0	0	0	1	0		Sß môn quan hoài: Tång ğµ chính xác
209	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	½ÅÏÂ¹âÈ¦µã				0	0	0	1	0		Sß môn quan hoài: Tång tính kháng
210	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	½ÅÏÂ¹âÈ¦µã				0	0	0	1	0		Sß môn quan hoài: Tång hµi công
211	211	7500	Buff5_5							0	0	0	0	0		Hoà bình: Không th¬ t¤n công tÕm th¶i mi­n d¸ch ğ¯i v¾i t¤n công
212	212	1000	OtherTools2_14				g01_buff38		Í·¶¥×´Ì¬µã	0	0	0	0	0		Nghi ho£c: Không th¬ t¤n công, không th¬ di chuy¬n, b¸ t¤n công không tïnh lÕi
213	213	1000	FightSkillDaLi_5		Character\Npc\chess_boss_1.wav		g01_buff38		Í·¶¥×´Ì¬µã	0	0	0	0	0		Phong ¤n: không th¬ cØ ğµng, có th¬ thÑc tïnh
214	99	1000	MenpaiLiveSkill2_10							0	0	0	1	0		Li­u ám hoa minh; ¦n thân, t¯c ğµ di chuy¬n giäm 20%, khi b¸ công kích ho£c sØ døng kÛ nång s¨ l§p tÑc hi®n thân.
215	1500	1000	Huodong_14							0	0	0	0	0		Tham gia sñ ki®n Th¢ng B¶m: tång 5 ği¬m t¤t cä thuµc tính v« th¬ lñc,cß¶ng lñc, nµi lñc, trí lñc, thân pháp
222	222	1000	MenpaiLiveSkill2_7							0	0	0	1	0		Tînh toÕ: Tiªp tøc h°i phøc khí huyªt
223	223	1000	Buff5_6							0	0	0	1	0		Tào v§n vi®n trş: Tång ngoÕi công
224	224	1000	Buff5_6							0	0	0	1	0		Tào v§n vi®n trş: Tång ngoÕi thü
225	225	1000	Buff5_6							0	0	0	1	0		Tào v§n vi®n trş: Tång nµi công
226	226	1000	Buff5_6							0	0	0	1	0		Tào v§n vi®n trş: Tång nµi thü
227	227	1000	Buff5_6							0	0	0	1	0		Tào v§n vi®n trş: Tång t¯c ğµ di chuy¬n
228	228	1000	Buff5_6							0	0	0	1	0		Tào v§n vi®n trş: xác su¤t 50% không g£p yêu quái
229	228	1000	Buff5_6							0	0	0	1	0		Tào v§n vi®n trş: xác su¤t 100% không g£p yêu quái
230	230	7500	Bag2_1							0	0	0	0	0		Hi®n v§t: mi­n d¸ch nhæng hi®u quä không t¯t
231	13	1000	FightSkillTianShan1_5	all_bj0000		ÉíÌåÊÜ»÷µã	buff_fengxue_01		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Ğ°ng sinh cµng tØ: ği¬m huy®t, không th¬ di chuy¬n, không th¬ cØ ğµng, có th¬ b¸ t¤n công, không cách nào thÑc tïnh
232	232	1000	FightSkillMingJiao_5	all_bj0000		ÉíÌåÊÜ»÷µã	buff_fengxue_01		ÉíÌåÊÜ»÷µã	0	1	1	0	0		B±ng Ğä C¦u Thü: phong huy®t, không th¬ di chuy¬n, không thñc hi®n ğßşc thao tác, không b¸ t¤n công, không th¬ nào ğánh tïnh lÕi
233	233	1000	Banner1_8				go1_°®ÉñÖ®¼ı_buff_01		ÉíÌåÊÜ»÷µã	0	0	0	1	0		Nø Hôn Th¥n Ái: nhân chÑng cho tình yêu chân thành, cùng ngß¶i yêu ğªn LÕc Dß½ng Khâu Bích Ğ£c ğ±i l¤y ph¥n thß·ng
234	234	1500	Buff9_16							0	0	0	1	0		Xuyên th¤u: bö qua møc tiêu 15 ği¬m kháng Huy«n
235	235	1500	Buff9_16							0	0	0	1	0		Xuyên th¤u: bö qua møc tiêu 25 ği¬m kháng Huy«n
236	236	1500	Buff9_14							0	0	0	1	0		Xuyên th¤u: bö qua møc tiêu 15 ği¬m kháng Höa
237	237	1500	Buff9_14							0	0	0	1	0		Xuyên th¤u: bö qua møc tiêu 25 ği¬m kháng Höa
238	238	1500	Buff9_15							0	0	0	1	0		Xuyên th¤u: bö qua møc tiêu 15 ği¬m kháng Ğµc
239	239	1500	Buff9_15							0	0	0	1	0		Xuyên th¤u: bö qua møc tiêu 25 ği¬m kháng Ğµc
240	240	1500	Buff8_16							0	0	0	1	0		Xuyên th¤u: bö qua møc tiêu 15 ği¬m kháng Bång
241	241	1500	Buff8_16							0	0	0	1	0		Xuyên th¤u: bö qua møc tiêu 25 ği¬m kháng Bång
242	242	1000	Huodong_2_13				ĞÂÀ¶¹â»·		ÉíÌåÊÜ»÷µã	0	0	0	1	0		Mua ğ° Tªt môn phái: th¬ lñc, cß¶ng lñc, nµi lñc, trí lñc, thân pháp m²i loÕi tång 15 ği¬m
243	243	1000	Ring5_11				buff_·òÆŞ½äÖ¸01		ÉíÌåÊÜ»÷µã	0	0	0	1	0		Nhçn Kim Cß½ng Vînh H¢ng: khi ğßşc chúc phúc thì th¬ lñc, cß¶ng lñc, nµi lñc, trí lñc, thân pháp m²i loÕi tång 10 ği¬m
244	244	1000	Buff10_1				buff_ÕäççÖ®¹â		ÉíÌåÊÜ»÷µã	0	0	0	0	0		Trân Lung Chi Quang: th¬ lñc, cß¶ng lñc, nµi lñc, trí lñc, thân pháp m²i loÕi tång 8 ği¬m
245	245	8600	TaskTools3_3							0	0	0	1	0		Phúc HoÕt Bäo Hµ: vô ğ¸ch, sau khi sØ døng kÛ nång thì bäo hµ biªn m¤t.
246	246	1000	Treasure3_4							0	0	0	1	0		Tînh Tâm: Tång 15 ği¬m t¤t cä thuµc tính cüa nhân v§t, sau khi m¤t ği có th¬ ğªn ch² Tôn Bát Gia ĞÕi Lı lînh nh§n Tînh Tâm Thäo
251	99	1400	RideHeader1_13		interface\sound_tiger.wav					0	0	0	1	0		Thú cßŞi: H±
252	99	1400	RideHeader1_1		interface\sound_horse.wav					0	0	0	1	0		Thú cßŞi: Hoàng Phiêu Mã
253	99	1400	RideHeader1_11		interface\35.wav					0	0	0	1	0		Thú cßŞi: LÕc Ğà
254	99	1400	RideHeader2_2		interface\32.wav					0	0	0	1	0		Thú cßŞi: HÕc
255	99	1400	RideHeader1_16		interface\33.wav					0	0	0	1	0		Thú cßŞi: Thanh Phøng
256	99	1400	RideHeader1_3		interface\34.wav					0	0	0	1	0		Thú cßŞi: Mao Ngßu
257	99	1400	RideHeader1_5		interface\31.wav					0	0	0	1	0		Thú cßŞi: Lµc
258	99	1400	RideHeader1_9		interface\36.wav					0	0	0	1	0		Thú cßŞi: Ğiêu
259	99	1400	RideHeader1_7		interface\30.wav					0	0	0	1	0		Thú cßŞi: Khôi Lang
260	99	1400	RideHeader1_14		interface\sound_tiger.wav					0	0	0	1	0		Thú cßŞi: BÕch H±
261	99	1400	RideHeader1_2		interface\sound_horse.wav					0	0	0	1	0		Thú cßŞi: Thanh BÕch Tông Mã
262	99	1400	RideHeader1_12		interface\35.wav					0	0	0	1	0		Thú cßŞi: BÕch LÕc Ğà
263	99	1400	RideHeader2_1		interface\32.wav					0	0	0	1	0		Thú cßŞi: Kim Dñc HÕc
264	99	1400	RideHeader1_15		interface\33.wav					0	0	0	1	0		Thú cßŞi: H°ng BÕch Phøng
265	99	1400	RideHeader1_4		interface\34.wav					0	0	0	1	0		Thú cßŞi: BÕch Mao Ngßu
266	99	1400	RideHeader1_6		interface\31.wav					0	0	0	1	0		Thú cßŞi: BÕch Lµc
267	99	1400	RideHeader1_10		interface\36.wav					0	0	0	1	0		Thú cßŞi: BÕch Ğiêu
268	99	1400	RideHeader1_8		interface\30.wav					0	0	0	1	0		Thú cßŞi: BÕch Lang
269	269	1450	Buff5_9	g01_buff108		½ÅÏÂ¹âÈ¦µã				0	0	0	1	0		Biªn thân
270	270	1000	Buff5_10							0	0	0	1	0		H°i sinh: trÕng thái này sau khi chªt s¨ tñ ğµng h°i sinh
271	271	1000	Buff5_7							1	0	0	0	0		TrÕng thái v§n chuy¬n: Không th¬ tàng hình, quay lÕi thành và cßŞi thú
272	272	1000	Buff5_8							0	0	0	0	0		Tào v§n cß¶ng ğÕo: Giöi phá khä nång tàng hình, t¯c ğµ di chuy¬n r¤t nhanh
273	273	1000	Buff5_11							0	0	0	1	0		M°i câu: giun ğ¤t, nâng cao t¯c ğµ câu cá
274	273	1000	Buff5_12							0	0	0	1	0		M°i câu: h°ng trùng, nâng cao t¯c ğµ câu cá
275	273	1000	Buff5_13							0	0	0	1	0		M°i câu: t¢m cát, nâng cao t¯c ğµ câu cá
276	276	1000	Buff5_14							0	0	0	0	0		Sóng ğôi: th¶i gian ğÑng sóng ğôi, không th¬ t¤n công và d¸ch chuy¬n, cûng không b¸ sát thß½ng
277	277	1000	Buff5_15							0	0	0	0	0		G£p ğ¸ch: không th¬ giao chuy¬n
278	99	1400	RideHeader2_3		interface\sound_tiger.wav					0	0	0	1	0		Thú cßŞi: Sß TØ
279	99	1400	RideHeader2_4		interface\sound_tiger.wav					0	0	0	1	0		Thú cßŞi: BÕch Sß
280	280	1000	Buff1_4				g01_buff44		Í·¶¥×´Ì¬µã	0	0	0	0	0		S½ h· chï ği¬m: b¸ Vß½ng Ngæ Yên chï ra s½ h· cüa chiêu thÑc
281	281	1000	FightSkillMingJiao_7							0	0	0	0	0		Báo thù: sau khi giªt chªt ğ¯i phß½ng s¨ nh§n ğßşc sñ báo thù cüa ğ¯i phß½ng
282	282	1000	FightSkillXiaoYao_9							1	1	0	1	0		Giam c¥m: Không th¬ sØ døng kÛ nång và v§t ph¦m
283	283	1000	FightSkillShaoLin2_6							0	1	0	1	0		Di l£c hµ thân: Tång cß¶ng th¬ lñc
284	284	1000	FightSkillMingJiao1_6							0	1	0	1	0		QuÏ hoa th¥n lñc: Tång cß¶ng lñc
285	285	1000	FightSkillGaiBang_6							0	1	0	1	0		Nhß änh tuÏ hình: Tång cß¶ng thân pháp
286	286	1000	FightSkillWuDang2_6							0	1	0	1	0		Tê ngßu v÷ng nguy®t: Tång nµi lñc
287	287	1000	FightSkillEMei2_6							0	1	0	1	0		ToÕ hoài b¤t loÕn: Tång trí lñc
288	288	1000	FightSkillXinXiu2_6							0	1	0	1	0		Bách ğµc b¤t xâm: Tång khä nång kháng ğµc
289	289	1000	FightSkillDaLi1_6							0	1	0	1	0		Chính khí hÕo nhiên: Tång khä nång kháng huy«n
290	290	1000	FightSkillTianShan1_6							0	1	0	1	0		Bång c½ ng÷c c¯t: Tång khä nång kháng bång
291	291	1000	FightSkillXiaoYao1_6							0	1	0	1	0		M£c thü thành qui: Tång khä nång kháng hoä
292	59	8500	FightSkillShaoLin2_5				ÃØ¼®_sl_zdo		ÉíÌåÖĞĞÄµã	0	0	0	1	0		D¸ch cân ğoán c¯t: Tång gi¾i hÕn máu
293	293	8500	FightSkillMingJiao1_5				ÃØ¼®_mj_zdo		ÉíÌåÖĞĞÄµã	0	0	0	1	0		Thu¥n dß½ng vô cñc: Tång hoä công và tính kháng hoä
294	14	1000	FightSkillWuDang2_5							0	1	1	0	0		Thiên ngoÕi phi tiên: tê li®t, không th¬ di chuy¬n, không th¬ cØ ğµng, có th¬ b¸ t¤n công, không th¬ thÑc tïnh
295	1	8500	FightSkillEMei2_5							0	1	1	0	0		CØu Âm BÕch C¯t Träo: liên tøc m¤t máu
296	34	1000	FightSkillXinXiu2_5							0	1	1	0	0		Hoá c¯t miên chß·ng: cß¶ng lñc, nµi lñc suy yªu
297	26	8500	FightSkillDaLi1_5							0	1	1	0	0		Thiªu trÕch kiªm: T¤n công s½ h·, suy yªu khä nång t¤n công và phòng thü
298	13	8500	FightSkillTianShan1_5							0	1	1	0	0		Ğ°ng sinh cµng tØ: ği¬m huy®t, không th¬ di chuy¬n, không th¬ cØ ğµng, có th¬ b¸ t¤n công, không cách nào thÑc tïnh
299	99	1400	RideHeader1_9							0	0	0	1	0		Thú cßŞi: Løc Hành Ğiêu
300	300	1000	Buff2_12							0	0	0	1	0		Tång cß¶ng: ngoÕi công
301	301	1000	Buff2_13							0	0	0	1	0		Tång cß¶ng: nµi công
302	302	1000	Buff2_14							0	0	0	1	0		Tång cß¶ng: ngoÕi thü
303	303	1000	Buff2_15							0	0	0	1	0		Tång cß¶ng: nµi thü
304	304	1000	Charm_1							0	0	0	1	0		Tång cß¶ng: bång công
305	305	1000	Charm_2							0	0	0	1	0		Tång cß¶ng: hoä công
306	306	1000	Charm_3							0	0	0	1	0		Tång cß¶ng: ğµc công
307	307	1000	Charm_4							0	0	0	1	0		Tång cß¶ng: huy«n công
308	308	1000	OtherTools1_5							0	0	0	1	0		Tång cß¶ng: kháng bång
309	309	1000	OtherTools1_6							0	0	0	1	0		Tång cß¶ng: kháng hoä
310	310	1000	OtherTools1_7							0	0	0	1	0		Tång cß¶ng: kháng ğµc
311	311	1000	OtherTools1_8							0	0	0	1	0		Tång cß¶ng: kháng huy«n
312	312	1000	MenpaiGoods_1							0	0	0	1	0		Tång cß¶ng: cß¶ng lñc
313	313	1000	MenpaiGoods_2							0	0	0	1	0		Tång cß¶ng: nµi lñc
314	314	1000	MenpaiGoods_3							0	0	0	1	0		Tång cß¶ng: th¬ lñc
315	315	1000	MenpaiGoods_4							0	0	0	1	0		Tång cß¶ng: trí lñc
316	316	1000	MenpaiGoods_5							0	0	0	1	0		Tång cß¶ng: thân pháp
317	317	1000	MenpaiGoods_6							0	0	0	1	0		Tång cß¶ng: ğµ chính xác
318	318	1000	MenpaiGoods_7							0	0	0	1	0		Tång cß¶ng: né tránh
319	319	1000	MenpaiGoods_8							0	0	0	1	0		Tång cß¶ng: hµi công
320	320	1000	Charm_15							0	0	0	1	0		Tång cß¶ng: máu gi¾i hÕn trên
321	321	1000	Charm_14							0	0	0	1	0		Tång cß¶ng: khí gi¾i hÕn trên
322	99	1400	RideHeader2_6		ambience\nature\animal\elephant.wav					0	0	0	1	0		V§t cßŞi: Voi
323	99	1400	RideHeader2_5		ambience\nature\animal\elephant.wav					0	0	0	1	0		Thú cßŞi: BÕch Tßşng
324	99	1400	RideHeader1_10		interface\36.wav					0	0	0	1	0		CßŞi: Th¥n Ğiêu
325	325	1000	Cloth3_2							1	0	0	0	0		Ğ¸a linh ğan: kinh nghi®m cüa Trân thú nh§n ğßşc g¤p ğôi
326	99	1400	RideHeader2_15		ambience\nature\animal\xiniu.wav					0	0	0	1	0		CßŞi: Tê Ngßu
327	99	1400	RideHeader2_11		ambience\nature\bird\tuoniao.wav					0	0	0	1	0		CßŞi: Ğà Ği¬u
328	99	1400	RideHeader2_14		ambience\nature\insect\spider_1.wav					0	0	0	1	0		CßŞi: Tri Thù
329	99	1400	RideHeader2_12							0	0	0	1	0		CßŞi: Huy«n Quy
330	99	1400	RideHeader2_10		ambience\nature\animal\lion_1.wav					0	0	0	1	0		CßŞi: Løc Ngô
331	99	1400	RideHeader2_13		ambience\society\machine.wav					0	0	0	1	0		CßŞi: Mµc Ngßu Lßu Mã
332	99	1400	RideHeader2_9		ambience\nature\animal\bear_1.wav					0	0	0	1	0		CßŞi: Hùng
333	99	1400	RideHeader1_1							0	0	0	1	0		CßŞi thú
334	334	8600	TaskTools3_3							0	0	0	1	0		Truy«n t¯ng bäo hµ: vô ğ¸ch, sau khi di chuy¬n ho£c sØ døng kÛ nång, bäo v® s¨ m¤t
335	335	1000	CommonLiveSkill_16							1	0	0	0	0		M®t möi: chü nhân ko th¬ tiªp tøc ph¯i hşp Trân thú phóng ra chÑc nång công kích.
336	336	1000	TaskTools4_10							1	0	0	0	0		Mã yên: gia tång t¯c ğµ di chuy¬n cüa thú cßŞi
337	99	1400	Ride2_15		ambience\nature\animal\river_horse.wav					0	0	0	1	0		Thú CßŞi: Hà Mã
338	99	1400	Ride2_11		ambience\nature\animal\carriage.wav					0	0	0	1	0		Thú CßŞi: Mã Xa
339	99	1400	Ride2_13		ambience\nature\animal\horse_2.wav					0	0	0	1	0		Thú CßŞi: Thiên Mã
340	99	1400	Ride2_9							0	0	0	1	0		Thú CßŞi: Th¯ TØ
341	99	1400	Ride2_14		ambience\nature\animal\dance_lion.wav					0	0	0	1	0		Thú CßŞi: Vû sß
342	99	1400	Ride2_10		interface\31.wav					0	0	0	1	0		Thú CßŞi: Tu¥n Lµc
343	343	1000	Medicine2_12							1	0	0	0	0		Càn khôn h°: Tñ ğµng thu th§p v§t ph¦m lúc quái v§t r¾t ra
344	344	1000	TaskTools6_7							1	0	0	0	0		Tâm Hoài C¯ Chü: tÕm th¶i không th¬ gia nh§p bang phái khác, th¬ lñc, cß¶ng lñc, nµi lñc, trí lñc, thân pháp m²i loÕi tång 5 ği¬m
345	345	8500	MenpaiLiveSkill2_9							0	0	1	0	0		Di®t thØ tri«u thñc: Thu hút quái v§t công kích
346	345	8500	MenpaiLiveSkill2_11							0	0	1	0	0		Ği®u H± Ly S½n: dø quái v§t công kích và giäm khä nång phòng ngñ cüa nó
347	347	1000	MakeMaterial11_3				g01_buff10_01		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		Song hÕt t¯c long ğan: gia tång t¯c ğµ di chuy¬n
349	349	1000	Cloth3_14							1	1	0	0	0		Thông thiên linh ğan: kinh nghi®m nhân v§t nh§n ğßşc tr· thành g¤p 2.5
350	325	1000	Cloth3_15							1	1	0	0	0		Tri®t ğ¸a linh ğan: kinh nghi®m Trân thú nh§n ğßşc tr· thành g¤p 2.5
351	349	1000	Cloth3_16							1	1	0	0	0		Ti¬u linh ğan: kinh nghi®m cüa nhân v§t và Trân thú nh§n ğßşc tr· thành g¤p 1.5
352	352	1000	CommonLiveSkill_15							1	0	0	0	0		M®t möi: chü nhân không th¬ tiªp tøc ph¯i hşp v¾i trân thú sØ døng kÛ nång Th¥n hæu.
353	353	1000	CommonLiveSkill_14							1	0	0	0	0		M®t möi: chü nhân không th¬ tiªp tøc ph¯i hşp v¾i trân thú sØ døng kÛ nång Cµng sinh và Huyªt tª.
354	354	1000	Cloth4_5				Ãµ¹å»¨		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		999 ğóa hoa h°ng
355	355	1000	Cloth6_1	±ùÕòÎ÷¹Ï	interface\sound_shengji.wav	ÉíÌåÊÜ»÷µã				0	0	0	1	0		Bång tr¤n dßa h¤u: làm cho ngß¶i Th¥n thanh khí thoán, Gia tång 15% theo c½ s· nhân v§t NgoÕi công công kích và c½ s· nhân v§t Nµi công công kích.
356	99	1400	Ride2_12							0	0	0	1	0		Thú CßŞi: Tuyªt Vû
357	357	1000	CommonLiveSkill_14							1	0	0	0	0		M®t möi: chü nhân không th¬ ph¯i hşp cùng v¾i trân thú sØ døng kÛ nång nhøc tß¶ng
358	99	1400	RideHeader2_16							0	0	0	1	0		Thú cßŞi: Cñ nhân
359	99	1400	RideHeader2_7							0	0	0	1	0		Thú cßŞi: Phi long
360	360	1000	PetSkill2_13							0	0	0	0	0		Bång tinh: giäm sát thß½ng h® bång, tång sát thß½ng h® hoä
361	360	1000	PetSkill2_14							0	0	0	0	0		Hoä tinh: giäm sát thß½ng h® hoä, tång sát thß½ng h® bång
362	360	1000	PetSkill3_3							0	0	0	0	0		Ğµc c±: giäm sát thß½ng h® ğµc, tång sát thß½ng h® huy«n
363	360	1000	PetSkill3_8							0	0	0	0	0		Huy«n thú: giäm sát thß½ng h® huy«n, tång sát thß½ng h® ğµc
364	364	1000	PetSkill1_7							0	0	0	0	0		Ch§m chÕp: Tång mÑc gi¾i hÕn máu, khä nång né tránh và ğµ chính xác giäm
365	364	1000	PetSkill3_6							0	0	0	0	0		Giäo hoÕt: Tång khä nång né tránh và ğµ chính xác, khä nång phòng thü suy yªu
366	364	1000	PetSkill3_7							0	0	0	0	0		Th§t thà: Tång phòng thü, hµi công giäm
367	364	1000	PetSkill3_5							0	0	0	0	0		Li«u mÕng: tång hµi công, gi¾i hÕn máu giäm
368	364	1000	PetSkill3_9							0	0	0	0	0		Pháp h°n: nµi công tång, ngoÕi công suy yªu
369	364	1000	PetSkill3_10							0	0	0	0	0		Man lñc: ngoÕi công tång, nµi công suy yªu
370	370	1000	PetSkill5_13				cw_chongsheng		ÉíÌåÊÜ»÷µã	0	0	0	0	0		H°i sinh: trÕng thái này sau khi chªt s¨ tñ ğµng h°i sinh
371	370	1000	PetSkill5_14				cw_chongsheng		ÉíÌåÊÜ»÷µã	0	0	0	0	0		H°i sinh c¤p cao: · trÕng thái này sau khi chªt s¨ tñ ğµng h°i sinh
372	372	1000	PetSkill2_9				cw_rouqiang		Í·¶¥×´Ì¬µã	0	0	0	0	0		Nhøc tß¶ng: Chuy¬n mµt ph¥n sát thß½ng sang thú nuôi
373	372	1000	PetSkill2_10				cw_rouqiang		Í·¶¥×´Ì¬µã	0	0	0	0	0		Nhøc tß¶ng c¤p ğµ cao: Chuy¬n mµt ph¥n sát thß½ng sang thú nuôi
374	374	1000	PetSkill4_1				cw_shengyou		Í·¶¥×´Ì¬µã	0	0	0	0	0		Th¥n hæu: không b¸ sát thß½ng cûng không th¬ t¤n công ğ¸ch
375	374	1000	PetSkill4_2				cw_shengyou		Í·¶¥×´Ì¬µã	0	0	0	0	0		Th¥n hæu c¤p ğµ cao: không b¸ sát thß½ng cûng không th¬ t¤n công ğ¸ch
376	376	1000	PetSkill7_1				cw_shixue		ÉíÌåÊÜ»÷µã	0	0	0	0	0		Khát máu: Hy sinh phòng thü ğ¬ tÕm th¶i nâng cao ngoÕi công
377	376	1000	PetSkill7_2				cw_shixue		ÉíÌåÊÜ»÷µã	0	0	0	0	0		Khát máu c¤p ğµ cao: Hy sinh phòng thü ğ¬ tÕm th¶i nâng cao ngoÕi công
378	377	8000	Ring2_15				buff_ÖØÂ¥ÍûÔÂ		ÉíÌåÖĞĞÄµã	1	0	0	0	0		Chân-Trùng Lâu Gi¾i: khi t¤n công có 3% c½ hµi ch¤n nhiªp h°n phách kë ğ¸ch, gây Phong Huy®t, duy trì 20 giây, không th¬ giäi Phong Huy®t
380	380	1000	PetSkill5_6							0	0	0	0	0		NguÜ trang: thú nuôi · trÕng thái tàng hình, hi®n hình khi t¤n công ho£c b¸ sát thß½ng
381	380	1000	PetSkill5_5							0	0	0	0	0		NguÜ trang ğµ c¤p cao: thú nuôi nguÜ trang, s¨ hi®n hình khi t¤n công ho£c b¸ sát thß½ng
