INT	INT	STRING
2756	5	Huy«n Hoang Ð¢ng Xà
2757	45	Huy«n Hoang Ð¢ng Xà
2758	55	Huy«n Hoang Ð¢ng Xà
2759	65	Huy«n Hoang Ð¢ng Xà
2760	75	Huy«n Hoang Ð¢ng Xà
2761	85	Huy«n Hoang Ð¢ng Xà
2762	95	Huy«n Hoang Ð¢ng Xà
2763	5	Oa Hoàng Long Mãng
2764	45	Oa Hoàng Long Mãng
2765	55	Oa Hoàng Long Mãng
2766	65	Oa Hoàng Long Mãng
2767	75	Oa Hoàng Long Mãng
2768	85	Oa Hoàng Long Mãng
2769	95	Oa Hoàng Long Mãng
2770	95	Thái C± Long H°n
2771	95	NgÕo Vân Thß½ng Long
2772	95	Oa Hoàng Long Mãng
2773	95	Huy«n Hoang Ð¢ng Xà
2774	5	T¸nh T¸nh Mã
2775	5	Huy«n Næ Xà
2776	45	Huy«n Næ Xà
2777	55	Huy«n Næ Xà
2778	65	Huy«n Næ Xà
2779	75	Huy«n Næ Xà
2780	85	Huy«n Næ Xà
2781	95	Huy«n Næ Xà
2782	20	Tu¥n Du Ti¬u Tiên
2783	45	Chung Ti¬u Hoa
2784	20	Ti¬u Lãng Nhân
2785	20	Phong Ði¬u
2786	20	An TØ
2787	5	Chung Ti¬u H¡c
2788	1	Thi¬m ði®n ðiêu
2789	1	Thi¬m ði®n ðiêu
2790	5	Mao Mao Ngßu
2791	45	Mao Mao Ngßu
2792	55	Mao Mao Ngßu
2793	65	Mao Mao Ngßu
2794	75	Mao Mao Ngßu
2795	85	Mao Mao Ngßu
2796	95	Mao Mao Ngßu
2797	5	Thánh Trang Ti¬u Lµc
2798	45	Thánh Trang Ti¬u Lµc
2799	55	Thánh Trang Ti¬u Lµc
2800	65	Thánh Trang Ti¬u Lµc
2801	75	Thánh Trang Ti¬u Lµc
2802	85	Thánh Trang Ti¬u Lµc
2803	95	Thánh Trang Ti¬u Lµc
2804	5	Côn Lôn Tiên Tu¤n
2805	45	Côn Lôn Tiên Tu¤n
2806	55	Côn Lôn Tiên Tu¤n
2807	65	Côn Lôn Tiên Tu¤n
2808	75	Côn Lôn Tiên Tu¤n
2809	85	Côn Lôn Tiên Tu¤n
2810	95	Côn Lôn Tiên Tu¤n
2811	5	Thái Thß½ng Long TØ
2812	45	Thái Thß½ng Long TØ
2813	55	Thái Thß½ng Long TØ
2814	65	Thái Thß½ng Long TØ
2815	75	Thái Thß½ng Long TØ
2816	85	Thái Thß½ng Long TØ
2817	95	Thái Thß½ng Long TØ
2818	5	BÕo T¦u Hùng Miêu
2819	45	BÕo T¦u Hùng Miêu
2820	55	BÕo T¦u Hùng Miêu
2821	65	BÕo T¦u Hùng Miêu
2822	75	BÕo T¦u Hùng Miêu
2823	85	BÕo T¦u Hùng Miêu
2824	95	BÕo T¦u Hùng Miêu
2825	5	Minh Âm Hoa Linh
2826	45	Minh Âm Hoa Linh
2827	55	Minh Âm Hoa Linh
2828	65	Minh Âm Hoa Linh
2829	75	Minh Âm Hoa Linh
2830	85	Minh Âm Hoa Linh
2831	95	Minh Âm Hoa Linh
2832	20	Ti¬u D¸
2833	5	Ti¬u Mã Ca
2834	45	Ti¬u Mã Ca
2835	55	Ti¬u Mã Ca
2836	65	Ti¬u Mã Ca
2837	75	Ti¬u Mã Ca
2838	85	Ti¬u Mã Ca
2839	95	Ti¬u Mã Ca
2840	5	Bách Chiªn Kim Cang
2841	45	Bách Chiªn Kim Cang
2842	55	Bách Chiªn Kim Cang
2843	65	Bách Chiªn Kim Cang
2844	75	Bách Chiªn Kim Cang
2845	85	Bách Chiªn Kim Cang
2846	95	Bách Chiªn Kim Cang
2847	5	Thanh Dß½ng
2848	45	Thanh Dß½ng
2849	55	Thanh Dß½ng
2850	65	Thanh Dß½ng
2851	75	Thanh Dß½ng
2852	85	Thanh Dß½ng
2853	95	Thanh Dß½ng
2854	5	Linh Thiên ÐÕi Thánh
2855	45	Linh Thiên ÐÕi Thánh
2856	55	Linh Thiên ÐÕi Thánh
2857	65	Linh Thiên ÐÕi Thánh
2858	75	Linh Thiên ÐÕi Thánh
2859	85	Linh Thiên ÐÕi Thánh
2860	95	Linh Thiên ÐÕi Thánh
2861	5	Kim Ð°ng Ng÷c Næ
2862	45	Kim Ð°ng Ng÷c Næ
2863	55	Kim Ð°ng Ng÷c Næ
2864	65	Kim Ð°ng Ng÷c Næ
2865	75	Kim Ð°ng Ng÷c Næ
2866	85	Kim Ð°ng Ng÷c Næ
2867	95	Kim Ð°ng Ng÷c Næ
2931	5	Th¤t Xäo Ly Miêu
2932	45	Th¤t Xäo Ly Miêu
2933	55	Th¤t Xäo Ly Miêu
2934	65	Th¤t Xäo Ly Miêu
2935	75	Th¤t Xäo Ly Miêu
2936	85	Th¤t Xäo Ly Miêu
2937	95	Th¤t Xäo Ly Miêu
2938	5	G¤u Ham Ch½i
2939	45	G¤u Ham Ch½i
2940	55	G¤u Ham Ch½i
2941	65	G¤u Ham Ch½i
2942	75	G¤u Ham Ch½i
2943	85	G¤u Ham Ch½i
2944	95	G¤u Ham Ch½i
2945	5	Nguyên Nguyên
2946	5	Công Chúa Nhân Ngß
2947	45	Công Chúa Nhân Ngß
2948	55	Công Chúa Nhân Ngß
2949	65	Công Chúa Nhân Ngß
2950	75	Công Chúa Nhân Ngß
2951	85	Công Chúa Nhân Ngß
2952	95	Công Chúa Nhân Ngß
2954	5	Chiªn Tu La
2955	45	Chiªn Tu La
2956	55	Chiªn Tu La
2957	65	Chiªn Tu La
2958	75	Chiªn Tu La
2959	85	Chiªn Tu La
2960	95	Chiªn Tu La
2961	5	Tà Linh
2962	45	Tà Linh
2963	55	Tà Linh
2964	65	Tà Linh
2965	75	Tà Linh
2966	85	Tà Linh
2967	95	Tà Linh
2968	5	Yêu H° Kiªm Quân
2969	45	Yêu H° Kiªm Quân
2970	55	Yêu H° Kiªm Quân
2971	65	Yêu H° Kiªm Quân
2972	75	Yêu H° Kiªm Quân
2973	85	Yêu H° Kiªm Quân
2974	95	Yêu H° Kiªm Quân
2975	5	CØu Tiêu Chiªn Long
2976	45	CØu Tiêu Chiªn Long
2977	55	CØu Tiêu Chiªn Long
2978	65	CØu Tiêu Chiªn Long
2979	75	CØu Tiêu Chiªn Long
2980	85	CØu Tiêu Chiªn Long
2981	95	CØu Tiêu Chiªn Long
2982	5	Ð°ng Tâm Uyên ¿½ng
2983	45	Ð°ng Tâm Uyên ¿½ng
2984	55	Ð°ng Tâm Uyên ¿½ng
2985	65	Ð°ng Tâm Uyên ¿½ng
2986	75	Ð°ng Tâm Uyên ¿½ng
2987	85	Ð°ng Tâm Uyên ¿½ng
2988	95	Ð°ng Tâm Uyên ¿½ng
2989	5	Thiªt Phiªn Công Chúa
2990	45	Thiªt Phiªn Công Chúa
2991	55	Thiªt Phiªn Công Chúa
2992	65	Thiªt Phiªn Công Chúa
2993	75	Thiªt Phiªn Công Chúa
2994	85	Thiªt Phiªn Công Chúa
2995	95	Thiªt Phiªn Công Chúa
2997	5	Thông Tí Viên H¥u
2998	45	Thông Tí Viên H¥u
2999	55	Thông Tí Viên H¥u
3000	65	Thông Tí Viên H¥u
3001	75	Thông Tí Viên H¥u
3002	85	Thông Tí Viên H¥u
3003	95	Thông Tí Viên H¥u
3004	5	Ð§u Sa Thú
3005	45	Ð§u Sa Thú
3006	55	Ð§u Sa Thú
3007	65	Ð§u Sa Thú
3008	75	Ð§u Sa Thú
3009	85	Ð§u Sa Thú
3010	95	Ð§u Sa Thú
3011	5	Mî H¥u Vß½ng
3012	45	Mî H¥u Vß½ng
3013	55	Mî H¥u Vß½ng
3014	65	Mî H¥u Vß½ng
3015	75	Mî H¥u Vß½ng
3016	85	Mî H¥u Vß½ng
3017	95	Mî H¥u Vß½ng
3018	5	T« Thiên ÐÕi Thánh
3019	45	T« Thiên ÐÕi Thánh
3020	55	T« Thiên ÐÕi Thánh
3021	65	T« Thiên ÐÕi Thánh
3022	75	T« Thiên ÐÕi Thánh
3023	85	T« Thiên ÐÕi Thánh
3024	95	T« Thiên ÐÕi Thánh
3025	5	Trî Nguy®t Linh
3026	45	Trî Nguy®t Linh
3027	55	Trî Nguy®t Linh
3028	65	Trî Nguy®t Linh
3029	75	Trî Nguy®t Linh
3030	85	Trî Nguy®t Linh
3031	95	Trî Nguy®t Linh
3032	5	Nh¸ Lang Chân Quân
3033	45	Nh¸ Lang Chân Quân
3034	55	Nh¸ Lang Chân Quân
3035	65	Nh¸ Lang Chân Quân
3036	75	Nh¸ Lang Chân Quân
3037	85	Nh¸ Lang Chân Quân
3038	95	Nh¸ Lang Chân Quân
